statename,year,county,status,combustion_technology,emission_factor_kg_of_co2_per_tj,annual_co2_million_tonnes_annum,lifetime_co2
Pennsylvania,2028,NA,announced,supercritical,94600,1.2,49.5
Pennsylvania,2011,NA,cancelled,subcritical,94600,1.2,46.6
Kentucky,2011,NA,cancelled,unknown,96100,2.3,93.6
Georgia,2012,NA,cancelled,supercritical,96100,3.2,129.5
Louisiana,2011,NA,cancelled,supercritical,96100,1.1,42.1
Kentucky,NA,NA,cancelled,unknown,96100,2.6,102.9
Utah,2010,NA,cancelled,cfb,94600,0.5,20.5
Kentucky,NA,NA,cancelled,igcc,96100,2.6,105
Texas,2013,NA,cancelled,ultra-super,96100,2.4,97.4
Montana,NA,NA,cancelled,cfb,96100,7.9,315.4
Virginia,NA,NA,cancelled,supercritical,96100,5.7,228.6
New Mexico,NA,NA,cancelled,supercritical,96100,5.7,228.6
Kentucky,NA,NA,cancelled,subcritical,94600,0.5,20.5
Texas,NA,NA,cancelled,igcc,96100,1.5,60
Illinois,NA,NA,cancelled,unknown,96100,0.9,37.4
Pennsylvania,NA,NA,cancelled,unknown,96100,1.3,50.5
Pennsylvania,NA,NA,cancelled,cfb,94600,2.3,90
Utah,2010,NA,cancelled,unknown,96100,1.9,78
Kansas,NA,NA,cancelled,supercritical,96100,3.4,136.4
Oklahoma,2011,Choctaw,cancelled,supercritical,96100,2.9,114.3
California,NA,NA,cancelled,igcc/ccs,9460,0.2,8
Michigan,2011,NA,cancelled,supercritical,96100,3.5,141.7
Mississippi,NA,NA,cancelled,igcc,96100,2,79.4
Michigan,NA,NA,cancelled,subcritical,96100,1.5,60.7
Texas,NA,NA,cancelled,unknown,94600,5.1,202.6
Texas,NA,Limestone,cancelled,supercritical,96100,2.8,113.5
Georgia,2011,NA,cancelled,supercritical,96100,4.6,182.8
Minnesota,NA,NA,cancelled,igcc,96100,2.1,82.3
Arkansas,NA,NA,cancelled,subcritical,96100,2.6,104.9
Texas,NA,NA,cancelled,cfb,96100,1.3,52.6
New Jersey,NA,NA,cancelled,igcc,96100,1.5,60
North Dakota,2019,NA,cancelled,igcc/ccs,10100,0.1,4.2
Pennsylvania,NA,NA,cancelled,cfb,94600,1.4,54
Utah,NA,NA,cancelled,unknown,96100,1.3,50.5
Kentucky,NA,NA,cancelled,subcritical,94600,1.3,51.8
Massachusetts,2010,NA,cancelled,unknown,96100,0.6,24.7
Illinois,NA,NA,cancelled,unknown,96100,3,120.1
Michigan,NA,NA,cancelled,igcc,96100,0.7,29.5
Texas,NA,NA,cancelled,igcc,96100,1.5,60
Nevada,NA,NA,cancelled,supercritical,96100,2.9,114.3
Texas,NA,NA,cancelled,ultra-super,96100,2.9,114.7
Wyoming,NA,NA,cancelled,subcritical,94600,1.4,55.5
Wyoming,NA,NA,cancelled,supercritical,96100,2.9,114.3
Georgia,NA,NA,cancelled,supercritical,95350,3.2,128.5
Texas,NA,NA,cancelled,cfb,94600,5.1,204.9
MIchigan,NA,NA,cancelled,cfb,96100,2.4,94.6
New York,1950,Chautauqua,retired,subcritical,94600,0.5,0
New York,1959,Chautauqua,retired,subcritical,94600,1.2,0
New York,1960,Chautauqua,retired,subcritical,94600,1.2,0
New York,1950,Chautauqua,retired,subcritical,94600,0.5,0
Indiana,1979,Posey,operating,subcritical,94600,1.5,3
Indiana,1986,Posey,operating,subcritical,94600,1.5,3
Hawaii,1992,Honolulu,operating,subcritical,96100,1.2,1.2
Puerto Rico,2002,Guayama,operating,subcritical,96100,1.4,9.9
Puerto Rico,2002,Guayama,operating,subcritical,96100,1.4,9.9
Maryland,1999,Allegany,operating,subcritical,94600,1.2,21.1
Minnesota,1958,Washington,operating,supercritical,95350,2.8,19.8
West Virginia,1971,Putnam,operating,supercritical,94600,3.8,19.1
West Virginia,1972,Putnam,operating,supercritical,94600,3.8,19.1
West Virginia,1973,Putnam,operating,supercritical,94600,6.1,30.5
North Dakota,1984,Mercer,operating,subcritical,101000,2.4,4.9
North Dakota,1986,Mercer,operating,subcritical,101000,2.4,9.7
Arizona,1979,Cochise,operating,subcritical,96100,1.2,5.8
Iowa,1988,Linn,operating,subcritical,94600,0.2,1
Iowa,1988,Linn,operating,subcritical,94600,0.2,1
Iowa,1988,Linn,operating,subcritical,94600,0.2,1
Iowa,1988,Linn,operating,subcritical,94600,0.2,1
Iowa,1995,Linn,operating,subcritical,94600,0.2,2.2
Iowa,2000,Linn,operating,subcritical,94600,0.5,9.9
Iowa,2009,Clinton,operating,subcritical,95350,0.4,10.3
Iowa,2009,Clinton,operating,subcritical,95350,0.5,14.4
Illinois,1987,Macon,operating,subcritical,94600,0.2,0.9
Illinois,1987,Macon,operating,subcritical,94600,0.2,0.9
Illinois,1987,Macon,operating,subcritical,94600,0.2,0.9
Illinois,1987,Macon,operating,subcritical,94600,0.2,0.9
Illinois,1994,Macon,operating,subcritical,94600,0.2,2
Illinois,1997,Macon,operating,subcritical,94600,0.4,6.1
Illinois,2005,Macon,operating,subcritical,94600,0.5,12.2
Ohio,1970,Lorain,retired,supercritical,94600,3.2,0
Illinois,1970,Randolph,operating,subcritical,96100,3.1,12.3
Illinois,1973,Randolph,operating,subcritical,96100,3.1,12.5
