state,solar_GWh,wind_GWh,biopower_GWh,geo_GWh,hydro_GWh,allpower_GWh
Alabama,3758163,283,12726,535489,4102,4310763
Alaska,0,0,574,0,23675,24249
Arizona,24556067,0,1924,1247476,1303,25806770
Arkansas,5023832,0,15444,628621,6093,5673990
California,17699252,2752441,27918,1475100,30023,21984734
Colorado,19452239,0,4137,1260610,7789,20724775
Connecticut,33959,26606,908,56078,922,118473
Delaware,289373,60675,897,22813,30,373788
District of Columbia,2498,0,65,697,0,3260
Florida,5274477,34684,13357,374161,682,5697361
Georgia,5566465,221129,16902,353206,1988,6159690
Hawaii,0,2844521,724,0,2602,2847847
Idaho,7466969,0,5957,1010462,18757,8502145
Illinois,8224622,715537,31960,676055,4882,9653056
Indiana,4992151,377768,17919,434258,2394,5824490
Iowa,7029896,0,28927,606390,2818,7668031
Kansas,22515071,0,12857,989675,2507,23520110
Kentucky,1862802,0,8321,484658,4255,2360036
Louisiana,4184642,1201632,14873,484271,2423,5887841
Maine,1105986,660702,4397,377075,3916,2152076
Maryland,629349,204483,3328,86649,814,924623
Massachusetts,111395,802171,2148,92227,1196,1009137
Michigan,5290011,1883707,11897,457850,1180,7644645
Minnesota,10840505,1528978,21390,369784,1254,12761911
Mississippi,5016232,10172,15285,559056,2211,5602956
Missouri,5381976,0,13984,835444,7198,6238602
Montana,9741192,0,5071,1653850,14546,11414659
Nebraska,14131975,0,17021,927996,3142,15080134
Nevada,16945866,0,613,1307494,845,18254818
New Hampshire,63451,20183,1342,104314,1740,191030
New Jersey,499847,430124,3522,35230,549,969272
New Mexico,33208761,0,948,1430911,1362,34641982
New York,1574148,677844,8508,375400,6711,2642611
North Carolina,4329554,1271663,16649,420741,3036,6041643
North Dakota,9777283,0,8216,820226,347,10606072
Ohio,3742740,299703,14372,495921,3045,4555781
Oklahoma,14472438,0,5093,779667,3015,15260213
Oregon,6586709,1031488,14683,932304,18184,8583368
Pennsylvania,631732,31801,13445,327340,8368,1012686
Rhode Island,17133,89243,617,11491,59,118543
South Carolina,2803219,542645,8414,364104,1888,3720270
South Dakota,11645187,0,8615,921972,1047,12576821
Tennessee,2295917,0,8079,428380,5744,2738120
Texas,62153730,6653461,21975,3030250,3006,71862422
Utah,10290429,0,860,952361,3528,11247178
Vermont,57474,0,694,35616,1710,95494
Virginia,1932184,365642,10364,290736,3656,2602582
Washington,1947152,535274,13825,565569,27248,3089068
West Virginia,59936,0,2687,261376,4408,328407
Wisconsin,5111135,573020,13293,647173,2286,6346907
Wyoming,11142413,0,553,1071451,4445,12218862
