fips,county,state,mortality_ast_2014,perc_mortality_change_ast,mortality_cwp_2014,perc_mortality_change_cwp,mortality_lung_2014,perc_mortality_change_lung,mortality_resp_2014,perc_mortality_change_resp,year,days_with_aqi,good_days,moderate_days,unhealthy_for_sensitive_groups_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,x90th_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm2_5,days_pm10,lat,long,distance_to_nearest_plant,name_of_nearest_plant
10001,Kent,Delaware,1.38,-19.07,0.02,-70.84,6.3,154.1,62.05,46.96,2014,364,295,68,1,0,0,0,108,59,42,0,0,225,139,0,39.086,-75.5686,62752.23090467375,Indian River power station
10003,New Castle,Delaware,1.12,-24.18,0.03,-79.9,5.94,163.55,49.38,31.89,2014,365,205,149,10,1,0,0,152,78,49,0,7,186,172,0,39.5768,-75.6527,87357.92448577312,Herbert Wagner Generating Station
10005,Sussex,Delaware,0.92,-44.22,0.06,-44.62,5.76,109.32,50.21,14.04,2014,365,261,103,1,0,0,0,105,64,43,0,0,244,121,0,38.6606,-75.39,16001.127622584328,Indian River power station
1001,Autauga,Alabama,1.07,-29.51,0.08,20.22,5.72,108.69,81.79,75.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.5349,-86.6427,80408.18879791883,Gaston Steam Plant
1003,Baldwin,Alabama,0.94,-40.13,0.03,-12.4,6.34,126.92,54.28,46.1,2014,280,232,46,2,0,0,0,112,59,38,0,0,205,75,0,30.7276,-87.7226,41296.383940089334,Barry Steam Plant
1005,Barbour,Alabama,1.63,-35.42,0.03,-19.36,6.47,90.26,69.82,62.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.8696,-85.3932,174419.9909648493,Wansley Plant
1007,Bibb,Alabama,1.31,-26.15,0.32,-40.24,5.55,115.12,84.49,83.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.9986,-87.1265,67948.94235121518,Gaston Steam Plant
1009,Blount,Alabama,1.09,-29.2,0.18,-72.06,5.26,126.28,87.05,99.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9809,-86.5674,59718.53965702719,Miller Steam Plant
1011,Bullock,Alabama,2.05,-37.18,0.03,15.95,5.58,88,51.49,44.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.1005,-85.7157,144629.04965048336,Gaston Steam Plant
1013,Butler,Alabama,1.74,-14.12,0.05,-13.22,5.4,115.95,75.09,125.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.7524,-86.6803,151019.36892411916,Barry Steam Plant
1015,Calhoun,Alabama,1.14,-31.58,0.04,-69.33,5.4,111.53,87.32,76.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7714,-85.826,83012.40291652664,Gaston Steam Plant
1017,Chambers,Alabama,1.42,-25.24,0.02,-28.3,6.19,124.92,84,114.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.9143,-85.392,64588.11915948966,Wansley Plant
1019,Cherokee,Alabama,1.01,-36.86,0.03,-63.76,5.57,110.15,93.04,130.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.1759,-85.6038,63233.96672080211,Plant Bowen
1021,Chilton,Alabama,0.97,-27.01,0.13,-32.85,4.85,113.96,88.02,114.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.8479,-86.7188,50108.12886098208,Gaston Steam Plant
1023,Choctaw,Alabama,1.46,-29.9,0.03,-7.94,5.59,116.16,60.19,74.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.0198,-88.2632,114917.47884144828,Barry Steam Plant
1025,Clarke,Alabama,1.45,-31.65,0.03,-31.07,6.19,102.17,69.3,62.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.6767,-87.8308,76208.09366938418,Barry Steam Plant
1027,Clay,Alabama,1.09,-33.77,0.04,-38.92,5.53,100.35,76.28,75.05,2014,114,96,18,0,0,0,0,70,54,36,0,0,0,114,0,33.269,-85.8605,55837.155392620654,Gaston Steam Plant
1029,Cleburne,Alabama,1.05,-31.56,0.04,-51.15,4.86,103.85,92.84,101.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.6745,-85.5188,53580.17296622801,Wansley Plant
1031,Coffee,Alabama,1.5,-17.22,0.02,-7.93,6.8,102.92,79.42,71.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.4027,-85.9882,197500.45501117696,Barry Steam Plant
1033,Colbert,Alabama,1.38,-15.46,0.03,-51.03,5.6,122.5,80.43,114.61,2014,284,251,33,0,0,0,0,87,52,37,0,0,206,78,0,34.7005,-87.8049,136882.39071048948,Miller Steam Plant
1035,Conecuh,Alabama,1.34,-26.7,0.1,25.55,5.46,108.8,76.4,135.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.4292,-86.9937,107473.876333667,Barry Steam Plant
1037,Coosa,Alabama,1.24,-30.81,0.08,-8.6,5.39,116.09,78.67,93.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.9362,-86.2477,39343.46379276811,Gaston Steam Plant
1039,Covington,Alabama,1.02,-28.25,0.08,-23.11,5.77,104.38,74.47,87.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.2485,-86.4513,150946.3173446655,Barry Steam Plant
1041,Crenshaw,Alabama,1.76,-20.72,0.05,-22.71,5.67,101.81,107.9,118.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.7315,-86.3136,168192.14073591764,Gaston Steam Plant
