FIPS,County,State,mortality_ast_2014,perc_mortality_change_ast,mortality_cwp_2014,perc_mortality_change_cwp,mortality_lung_2014,perc_mortality_change_lung,mortality_resp_2014,perc_mortality_change_resp
10001,Kent,Delaware,1.38,-19.07,0.02,-70.84,6.3,154.1,62.05,46.96
10003,New Castle,Delaware,1.12,-24.18,0.03,-79.9,5.94,163.55,49.38,31.89
10005,Sussex,Delaware,0.92,-44.22,0.06,-44.62,5.76,109.32,50.21,14.04
1001,Autauga,Alabama,1.07,-29.51,0.08,20.22,5.72,108.69,81.79,75.67
1003,Baldwin,Alabama,0.94,-40.13,0.03,-12.4,6.34,126.92,54.28,46.1
1005,Barbour,Alabama,1.63,-35.42,0.03,-19.36,6.47,90.26,69.82,62.98
1007,Bibb,Alabama,1.31,-26.15,0.32,-40.24,5.55,115.12,84.49,83.11
1009,Blount,Alabama,1.09,-29.2,0.18,-72.06,5.26,126.28,87.05,99.3
1011,Bullock,Alabama,2.05,-37.18,0.03,15.95,5.58,88,51.49,44.81
1013,Butler,Alabama,1.74,-14.12,0.05,-13.22,5.4,115.95,75.09,125.6
1015,Calhoun,Alabama,1.14,-31.58,0.04,-69.33,5.4,111.53,87.32,76.8
1017,Chambers,Alabama,1.42,-25.24,0.02,-28.3,6.19,124.92,84,114.49
1019,Cherokee,Alabama,1.01,-36.86,0.03,-63.76,5.57,110.15,93.04,130.66
1021,Chilton,Alabama,0.97,-27.01,0.13,-32.85,4.85,113.96,88.02,114.85
1023,Choctaw,Alabama,1.46,-29.9,0.03,-7.94,5.59,116.16,60.19,74.76
1025,Clarke,Alabama,1.45,-31.65,0.03,-31.07,6.19,102.17,69.3,62.6
1027,Clay,Alabama,1.09,-33.77,0.04,-38.92,5.53,100.35,76.28,75.05
1029,Cleburne,Alabama,1.05,-31.56,0.04,-51.15,4.86,103.85,92.84,101.8
1031,Coffee,Alabama,1.5,-17.22,0.02,-7.93,6.8,102.92,79.42,71.54
1033,Colbert,Alabama,1.38,-15.46,0.03,-51.03,5.6,122.5,80.43,114.61
1035,Conecuh,Alabama,1.34,-26.7,0.1,25.55,5.46,108.8,76.4,135.95
1037,Coosa,Alabama,1.24,-30.81,0.08,-8.6,5.39,116.09,78.67,93.67
1039,Covington,Alabama,1.02,-28.25,0.08,-23.11,5.77,104.38,74.47,87.68
1041,Crenshaw,Alabama,1.76,-20.72,0.05,-22.71,5.67,101.81,107.9,118.91
1043,Cullman,Alabama,0.82,-30.09,0.1,-65.57,5.27,116.24,89.78,99.19
1045,Dale,Alabama,1.54,-10.88,0.05,9.96,6.43,102.51,84.85,93.02
1047,Dallas,Alabama,2.47,-8.92,0.02,-26.59,6.62,120.46,65.59,59.76
1049,DeKalb,Alabama,0.96,-33.17,0.05,-67.7,5.2,119.51,101.8,167.49
1051,Elmore,Alabama,1.01,-27.26,0.07,-0.35,5.67,122.45,91.25,122.64
1053,Escambia,Alabama,1.22,-29.82,0.04,-36.54,7.04,118.39,67.63,73.22
1055,Etowah,Alabama,1.3,-26.1,0.06,-73.06,5.37,113.86,97.44,135.09
1057,Fayette,Alabama,1.26,-16.55,0.13,-62.7,8.38,153.7,86.07,120.77
1059,Franklin,Alabama,0.98,-23.6,0.06,-55.44,4.84,116.61,104.3,148.08
1061,Geneva,Alabama,1.32,-24.53,0.11,2.87,7.58,98.16,78.8,56.01
1063,Greene,Alabama,2.83,-29.19,0.03,-40.24,6.81,128.45,57.38,73.82
1065,Hale,Alabama,1.98,-29.63,0.04,-52.45,6.33,133.85,61.15,88.71
1067,Henry,Alabama,1.8,-29.86,0.05,9.09,7.93,94.97,71.04,65.53
1069,Houston,Alabama,1.81,-6.39,0.04,7.17,8.56,106.14,66.9,50.49
1071,Jackson,Alabama,1.3,-22.46,0.1,-32.29,5.12,125.8,94.69,126.3
1073,Jefferson,Alabama,1.68,-21.48,0.11,-84.98,6.92,122.5,59.24,24.4
1075,Lamar,Alabama,1.25,-17.26,0.09,-44.75,5.04,105.02,89.17,120.87
1077,Lauderdale,Alabama,1.16,-26.6,0.03,-56.47,7.2,140.37,75.94,95.2
1079,Lawrence,Alabama,1.2,-33.34,0.03,-54.49,5.49,121.85,92.36,130.35
1081,Lee,Alabama,1.15,-34.19,0.02,-17.07,5.9,107.41,74.45,109.43
