Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014"
United States,,"40.79 (39.80, 41.77)","42.99 (42.10, 43.90)","44.94 (44.08, 45.93)","50.07 (48.98, 51.23)","54.56 (53.34, 55.74)","54.58 (53.39, 55.85)","52.92 (51.72, 54.16)","52.92 (51.60, 54.36)","29.73 (25.47, 33.83)"
Alabama,1,"42.43 (41.22, 43.60)","46.29 (45.24, 47.34)","49.95 (48.86, 51.12)","57.00 (55.78, 58.36)","65.65 (64.23, 67.09)","69.21 (67.66, 70.75)","70.86 (69.27, 72.46)","73.44 (71.54, 75.49)","73.08 (67.09, 79.45)"
"Autauga County, Alabama",1001,"46.56 (42.86, 50.68)","50.68 (47.16, 54.42)","55.55 (52.19, 59.07)","63.21 (59.85, 66.62)","71.77 (68.27, 75.56)","77.13 (73.44, 81.17)","77.75 (73.63, 81.85)","81.79 (77.37, 86.77)","75.67 (58.34, 95.40)"
"Baldwin County, Alabama",1003,"37.15 (34.89, 39.40)","39.46 (37.38, 41.68)","42.97 (40.88, 45.19)","48.15 (46.05, 50.62)","52.07 (49.85, 54.48)","52.56 (50.47, 54.77)","55.12 (52.87, 57.56)","54.28 (51.92, 56.65)","46.10 (35.48, 59.57)"
"Barbour County, Alabama",1005,"42.84 (39.76, 46.26)","46.78 (43.78, 50.05)","50.05 (47.18, 53.20)","57.07 (54.07, 60.08)","65.19 (61.87, 68.69)","66.93 (63.11, 70.52)","67.52 (63.26, 71.55)","69.82 (65.35, 74.56)","62.98 (47.20, 80.68)"
"Bibb County, Alabama",1007,"46.14 (42.19, 50.25)","51.21 (47.49, 55.26)","56.24 (52.68, 59.96)","65.08 (61.25, 69.46)","74.13 (69.86, 78.72)","76.93 (72.79, 81.34)","80.51 (75.82, 85.85)","84.49 (78.58, 90.47)","83.11 (62.21, 105.79)"
"Blount County, Alabama",1009,"43.68 (40.39, 46.99)","47.93 (44.95, 51.00)","52.70 (49.58, 55.60)","62.08 (58.87, 65.25)","71.95 (68.40, 75.50)","77.68 (73.99, 81.36)","80.48 (76.67, 84.46)","87.05 (82.51, 91.87)","99.30 (80.27, 120.26)"
"Bullock County, Alabama",1011,"35.56 (31.98, 39.38)","37.86 (34.52, 41.19)","39.72 (36.37, 43.00)","45.46 (41.83, 49.14)","50.81 (46.83, 55.06)","53.41 (48.87, 58.10)","53.25 (48.76, 58.40)","51.49 (46.55, 56.67)","44.81 (27.81, 63.90)"
"Butler County, Alabama",1013,"33.28 (30.46, 36.21)","37.34 (34.69, 40.17)","42.14 (39.22, 45.27)","51.16 (48.07, 54.41)","60.60 (57.06, 64.18)","68.40 (64.12, 72.48)","70.43 (66.01, 74.90)","75.09 (69.58, 80.45)","125.60 (100.34, 154.14)"
"Calhoun County, Alabama",1015,"49.39 (46.45, 52.52)","52.64 (49.88, 55.52)","57.22 (54.50, 59.90)","66.93 (64.00, 69.89)","77.82 (74.87, 80.95)","81.46 (78.24, 84.66)","82.20 (78.84, 85.48)","87.32 (83.60, 91.57)","76.80 (63.05, 91.58)"
"Chambers County, Alabama",1017,"39.16 (36.31, 41.89)","44.91 (42.07, 47.87)","48.77 (46.24, 51.52)","57.80 (54.81, 60.86)","68.06 (65.07, 71.54)","74.01 (70.56, 77.64)","78.14 (74.00, 82.39)","84.00 (79.03, 88.98)","114.49 (96.33, 137.35)"
