Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014"
United States,,"0.53 (0.47, 0.59)","0.42 (0.38, 0.46)","0.32 (0.28, 0.35)","0.24 (0.22, 0.27)","0.18 (0.16, 0.21)","0.13 (0.11, 0.16)","0.09 (0.08, 0.11)","0.08 (0.07, 0.10)","-85.01 (-87.44, -79.78)"
Alabama,1,"0.33 (0.23, 0.43)","0.31 (0.23, 0.39)","0.26 (0.20, 0.32)","0.21 (0.16, 0.26)","0.17 (0.13, 0.24)","0.12 (0.09, 0.18)","0.09 (0.06, 0.14)","0.08 (0.05, 0.13)","-75.68 (-85.33, -55.18)"
"Autauga County, Alabama",1001,"0.06 (0.01, 0.20)","0.08 (0.02, 0.22)","0.08 (0.02, 0.21)","0.08 (0.02, 0.23)","0.08 (0.01, 0.24)","0.07 (0.01, 0.23)","0.06 (0.01, 0.23)","0.08 (0.01, 0.29)","20.22 (-81.37, 441.48)"
"Baldwin County, Alabama",1003,"0.03 (0.01, 0.08)","0.04 (0.01, 0.09)","0.03 (0.01, 0.08)","0.03 (0.01, 0.08)","0.02 (0.01, 0.07)","0.02 (0.00, 0.07)","0.02 (0.00, 0.07)","0.03 (0.00, 0.10)","-12.40 (-86.54, 358.09)"
"Barbour County, Alabama",1005,"0.03 (0.01, 0.10)","0.04 (0.01, 0.11)","0.03 (0.01, 0.10)","0.03 (0.01, 0.11)","0.03 (0.01, 0.11)","0.02 (0.00, 0.09)","0.02 (0.00, 0.09)","0.03 (0.00, 0.10)","-19.36 (-87.19, 276.83)"
"Bibb County, Alabama",1007,"0.53 (0.16, 1.19)","0.61 (0.21, 1.31)","0.58 (0.22, 1.23)","0.58 (0.20, 1.18)","0.53 (0.19, 1.14)","0.39 (0.11, 0.91)","0.33 (0.09, 0.81)","0.32 (0.07, 0.83)","-40.24 (-85.16, 117.25)"
"Blount County, Alabama",1009,"0.63 (0.26, 1.16)","0.64 (0.28, 1.18)","0.54 (0.26, 0.97)","0.48 (0.23, 0.86)","0.39 (0.16, 0.76)","0.26 (0.11, 0.58)","0.19 (0.06, 0.47)","0.18 (0.05, 0.48)","-72.06 (-93.13, 3.03)"
"Bullock County, Alabama",1011,"0.03 (0.00, 0.10)","0.03 (0.00, 0.12)","0.03 (0.00, 0.10)","0.03 (0.00, 0.13)","0.03 (0.00, 0.13)","0.02 (0.00, 0.10)","0.02 (0.00, 0.10)","0.03 (0.00, 0.13)","15.95 (-83.68, 377.14)"
"Butler County, Alabama",1013,"0.05 (0.01, 0.17)","0.06 (0.01, 0.20)","0.06 (0.01, 0.20)","0.06 (0.01, 0.20)","0.05 (0.01, 0.18)","0.04 (0.00, 0.16)","0.04 (0.00, 0.16)","0.05 (0.00, 0.21)","-13.22 (-86.64, 368.26)"
"Calhoun County, Alabama",1015,"0.13 (0.05, 0.26)","0.14 (0.06, 0.26)","0.11 (0.05, 0.20)","0.10 (0.04, 0.20)","0.08 (0.03, 0.17)","0.05 (0.02, 0.14)","0.04 (0.01, 0.11)","0.04 (0.01, 0.12)","-69.33 (-93.68, 19.71)"
