Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014"
United States,,"2.72 (2.32, 4.19)","2.96 (2.60, 4.37)","3.28 (2.96, 4.51)","3.87 (3.24, 4.87)","4.66 (3.35, 5.15)","5.14 (3.39, 5.68)","5.29 (3.41, 5.86)","5.46 (3.55, 6.13)","100.47 (5.84, 155.22)"
Alabama,1,"2.89 (2.44, 4.41)","3.16 (2.76, 4.60)","3.56 (3.17, 4.87)","4.25 (3.54, 5.29)","5.21 (3.71, 5.75)","5.78 (3.88, 6.44)","6.03 (3.95, 6.74)","6.25 (4.11, 7.08)","116.26 (16.30, 177.83)"
"Autauga County, Alabama",1001,"2.74 (2.04, 4.31)","2.99 (2.30, 4.46)","3.37 (2.67, 4.63)","3.96 (3.07, 5.09)","4.74 (3.25, 5.94)","5.33 (3.41, 6.87)","5.42 (3.38, 6.98)","5.72 (3.50, 7.56)","108.69 (6.76, 210.33)"
"Baldwin County, Alabama",1003,"2.79 (2.16, 4.42)","3.06 (2.44, 4.60)","3.51 (2.92, 4.80)","4.20 (3.47, 5.28)","5.07 (3.62, 5.99)","5.69 (3.68, 6.77)","6.08 (3.94, 7.33)","6.34 (4.05, 7.66)","126.92 (21.92, 223.60)"
"Barbour County, Alabama",1005,"3.40 (2.56, 5.34)","3.67 (2.83, 5.45)","4.05 (3.25, 5.62)","4.77 (3.69, 6.10)","5.77 (3.96, 7.14)","6.17 (3.91, 7.81)","6.35 (4.01, 8.21)","6.47 (4.05, 8.51)","90.26 (0.27, 179.08)"
"Bibb County, Alabama",1007,"2.58 (1.93, 4.15)","2.81 (2.16, 4.34)","3.14 (2.48, 4.44)","3.78 (2.91, 4.97)","4.56 (3.10, 5.85)","5.06 (3.25, 6.53)","5.30 (3.30, 7.00)","5.55 (3.60, 7.50)","115.12 (10.75, 221.21)"
"Blount County, Alabama",1009,"2.32 (1.75, 3.73)","2.56 (2.00, 3.92)","2.90 (2.34, 4.08)","3.53 (2.81, 4.56)","4.33 (3.03, 5.36)","4.87 (3.04, 6.15)","5.01 (3.10, 6.44)","5.26 (3.30, 6.81)","126.28 (17.50, 235.41)"
"Bullock County, Alabama",1011,"2.97 (2.18, 4.66)","3.20 (2.44, 4.91)","3.55 (2.78, 5.06)","4.26 (3.25, 5.67)","5.16 (3.55, 6.59)","5.70 (3.61, 7.46)","5.75 (3.58, 7.64)","5.58 (3.48, 7.49)","88.00 (-2.78, 173.85)"
"Butler County, Alabama",1013,"2.50 (1.89, 3.95)","2.72 (2.10, 4.17)","3.06 (2.39, 4.32)","3.68 (2.90, 4.84)","4.46 (3.10, 5.56)","5.07 (3.31, 6.49)","5.20 (3.30, 6.70)","5.40 (3.42, 7.09)","115.95 (16.48, 212.32)"
"Calhoun County, Alabama",1015,"2.55 (1.95, 4.05)","2.77 (2.18, 4.20)","3.16 (2.52, 4.36)","3.75 (3.05, 4.73)","4.58 (3.24, 5.51)","5.06 (3.32, 6.21)","5.17 (3.36, 6.39)","5.40 (3.48, 6.69)","111.53 (8.64, 203.41)"
"Chambers County, Alabama",1017,"2.75 (2.10, 4.26)","3.07 (2.38, 4.57)","3.43 (2.76, 4.73)","4.16 (3.23, 5.27)","5.13 (3.50, 6.33)","5.74 (3.61, 7.30)","5.97 (3.69, 7.60)","6.19 (3.83, 8.03)","124.92 (17.51, 225.48)"
"Cherokee County, Alabama",1019,"2.65 (1.98, 4.20)","2.87 (2.22, 4.33)","3.23 (2.58, 4.52)","3.88 (3.03, 4.99)","4.73 (3.30, 5.91)","5.20 (3.29, 6.56)","5.29 (3.25, 6.84)","5.57 (3.42, 7.42)","110.15 (8.47, 207.42)"
"Chilton County, Alabama",1021,"2.27 (1.71, 3.51)","2.46 (1.89, 3.73)","2.84 (2.24, 3.89)","3.35 (2.67, 4.33)","4.04 (2.87, 5.08)","4.50 (2.97, 5.76)","4.71 (2.96, 6.06)","4.85 (3.12, 6.36)","113.96 (10.76, 212.99)"
"Choctaw County, Alabama",1023,"2.58 (1.92, 4.05)","2.86 (2.19, 4.34)","3.23 (2.57, 4.52)","3.91 (3.03, 5.13)","4.80 (3.34, 5.99)","5.12 (3.34, 6.56)","5.41 (3.31, 6.99)","5.59 (3.44, 7.35)","116.16 (11.60, 210.64)"
"Clarke County, Alabama",1025,"3.06 (2.32, 4.83)","3.34 (2.61, 5.09)","3.71 (2.97, 5.23)","4.37 (3.46, 5.71)","5.24 (3.65, 6.58)","5.82 (3.81, 7.44)","5.98 (3.87, 7.79)","6.19 (3.91, 8.07)","102.17 (6.63, 191.65)"
"Clay County, Alabama",1027,"2.76 (1.99, 4.45)","2.96 (2.20, 4.54)","3.30 (2.50, 4.74)","3.91 (2.92, 5.14)","4.73 (3.17, 6.00)","5.25 (3.24, 6.82)","5.34 (3.24, 7.00)","5.53 (3.25, 7.47)","100.35 (1.26, 203.83)"
"Cleburne County, Alabama",1029,"2.39 (1.78, 3.84)","2.61 (1.99, 3.95)","2.93 (2.26, 4.13)","3.43 (2.64, 4.44)","4.07 (2.80, 5.14)","4.60 (2.88, 5.98)","4.69 (2.91, 6.23)","4.86 (2.94, 6.50)","103.85 (3.00, 200.52)"
"Coffee County, Alabama",1031,"3.35 (2.51, 5.29)","3.65 (2.81, 5.48)","4.08 (3.22, 5.65)","4.93 (3.82, 6.40)","5.95 (4.07, 7.34)","6.47 (4.12, 8.06)","6.56 (4.08, 8.23)","6.80 (4.29, 8.61)","102.92 (5.68, 196.65)"
"Colbert County, Alabama",1033,"2.52 (1.87, 3.97)","2.81 (2.18, 4.25)","3.18 (2.52, 4.50)","3.80 (2.98, 4.95)","4.60 (3.26, 5.67)","5.08 (3.24, 6.32)","5.39 (3.33, 6.85)","5.60 (3.50, 7.19)","122.50 (14.43, 228.15)"
"Conecuh County, Alabama",1035,"2.61 (1.91, 4.19)","2.83 (2.12, 4.33)","3.18 (2.43, 4.60)","3.83 (2.92, 5.17)","4.70 (3.16, 6.00)","5.09 (3.19, 6.61)","5.21 (3.21, 6.86)","5.46 (3.38, 7.40)","108.80 (12.45, 210.53)"
"Coosa County, Alabama",1037,"2.49 (1.82, 3.95)","2.77 (2.06, 4.24)","3.14 (2.41, 4.42)","3.77 (2.89, 4.98)","4.58 (3.20, 5.82)","5.00 (3.24, 6.42)","5.13 (3.27, 6.79)","5.39 (3.46, 7.21)","116.09 (12.96, 224.19)"
"Covington County, Alabama",1039,"2.82 (2.11, 4.41)","3.05 (2.37, 4.58)","3.40 (2.71, 4.73)","4.04 (3.20, 5.23)","4.85 (3.34, 5.94)","5.37 (3.42, 6.69)","5.50 (3.42, 7.00)","5.77 (3.63, 7.39)","104.38 (10.06, 194.60)"
"Crenshaw County, Alabama",1041,"2.81 (2.07, 4.33)","3.04 (2.28, 4.60)","3.42 (2.62, 4.83)","4.02 (3.09, 5.30)","4.82 (3.25, 6.08)","5.28 (3.44, 6.89)","5.43 (3.45, 7.17)","5.67 (3.61, 7.72)","101.81 (7.96, 190.62)"
"Cullman County, Alabama",1043,"2.44 (1.87, 3.93)","2.66 (2.10, 4.08)","3.00 (2.41, 4.22)","3.59 (2.86, 4.69)","4.47 (3.17, 5.52)","4.92 (3.21, 6.12)","5.08 (3.22, 6.46)","5.27 (3.37, 6.68)","116.24 (14.60, 211.93)"
"Dale County, Alabama",1045,"3.18 (2.43, 5.04)","3.46 (2.69, 5.17)","3.88 (3.10, 5.34)","4.67 (3.74, 5.97)","5.69 (3.95, 6.99)","6.22 (4.07, 7.81)","6.25 (4.03, 7.93)","6.43 (4.17, 8.33)","102.51 (6.16, 193.23)"
"Dallas County, Alabama",1047,"3.00 (2.30, 4.68)","3.29 (2.58, 4.98)","3.68 (2.99, 5.09)","4.41 (3.53, 5.64)","5.38 (3.76, 6.52)","6.14 (4.02, 7.65)","6.34 (4.04, 7.90)","6.62 (4.26, 8.52)","120.46 (19.83, 212.58)"
"DeKalb County, Alabama",1049,"2.37 (1.79, 3.80)","2.68 (2.10, 4.05)","3.00 (2.42, 4.19)","3.50 (2.78, 4.43)","4.33 (3.02, 5.26)","4.87 (3.25, 6.14)","5.06 (3.25, 6.53)","5.20 (3.33, 6.71)","119.51 (14.04, 217.95)"
"Elmore County, Alabama",1051,"2.55 (1.92, 3.97)","2.84 (2.22, 4.19)","3.21 (2.56, 4.57)","3.87 (3.07, 4.95)","4.64 (3.24, 5.71)","5.13 (3.35, 6.46)","5.37 (3.43, 6.88)","5.67 (3.60, 7.25)","122.45 (15.24, 225.52)"
"Escambia County, Alabama",1053,"3.22 (2.46, 4.92)","3.51 (2.77, 5.01)","3.95 (3.19, 5.37)","4.78 (3.82, 6.04)","5.91 (4.24, 7.15)","6.58 (4.28, 8.09)","6.70 (4.29, 8.41)","7.04 (4.61, 9.01)","118.39 (18.08, 214.96)"
"Etowah County, Alabama",1055,"2.51 (1.97, 3.86)","2.77 (2.22, 4.15)","3.12 (2.55, 4.31)","3.71 (2.99, 4.78)","4.52 (3.13, 5.48)","4.95 (3.20, 6.10)","5.19 (3.24, 6.44)","5.37 (3.39, 6.73)","113.86 (13.45, 203.33)"
"Fayette County, Alabama",1057,"3.30 (2.44, 5.08)","3.70 (2.80, 5.47)","4.29 (3.41, 6.01)","5.26 (4.08, 6.75)","6.64 (4.58, 8.41)","7.49 (4.68, 9.56)","7.88 (4.87, 10.23)","8.38 (5.04, 11.02)","153.70 (32.72, 271.80)"
"Franklin County, Alabama",1059,"2.23 (1.65, 3.52)","2.45 (1.86, 3.74)","2.78 (2.18, 3.98)","3.30 (2.53, 4.44)","4.03 (2.75, 5.20)","4.45 (2.82, 5.78)","4.71 (2.85, 6.25)","4.84 (2.96, 6.42)","116.61 (14.51, 219.51)"
