state,stateco2
Alabama,144.7
Alaska,0.7
Arizona,203
Arkansas,423.1
California,8
Colorado,226.3
Connecticut,0
Delaware,11.7
Florida,162.6
Georgia,742
Hawaii,1.2
Illinois,604.2
Indiana,501.9
Iowa,213.29999999999998
Kansas,386.3
Kentucky,779.7
Louisiana,178
Maine,0
Maryland,55
Massachusetts,24.7
Minnesota,230.8
Mississippi,149.8
Missouri,622.4
Montana,362.09999999999997
Nebraska,201.70000000000002
Nevada,122
New Hampshire,14.9
New Jersey,60
New Mexico,330.1
New York,0
North Carolina,642
North Dakota,101.7
Ohio,196.3
Oklahoma,195.6
Oregon,0
Pennsylvania,649.8
South Carolina,270.2
South Dakota,11.2
Tennessee,151.4
Texas,1752.5
Utah,311.2
Virginia,341.8
Washington,14.4
West Virginia,367.8
Wisconsin,283.4
Wyoming,501.4
Idaho,0
Vermont,0
Rhode Island,0
Michigan,0
District of Columbia,0
