county,state,lat,long,distance_to_nearest_plant,name_of_nearest_plant
Los Angeles,California,34.3209,-118.2247,728628.8588828215,TS Power Plant
Cook,Illinois,41.8401,-87.8168,76567.64681319495,Michigan City Generating Station
Harris,Texas,29.8577,-95.3936,48225.58412849618,Parish Generating Station
Maricopa,Arizona,33.349,-112.4915,268346.8258752121,Cholla Generating Station
San Diego,California,33.0343,-116.735,630886.0428384644,Cholla Generating Station
Orange,California,33.7031,-117.7609,700036.8964349555,Cholla Generating Station
Kings,New York,40.6395,-73.9385,130364.74429591147,Northampton Generating Plant
Miami-Dade,Florida,25.615,-80.5623,303083.48889475735,Big Bend Station
Dallas,Texas,32.7666,-96.7778,144216.24865426673,Sandy Creek Plant
Riverside,California,33.7436,-115.9938,540350.298116805,Cholla Generating Station
Queens,New York,40.7023,-73.8203,140167.67677803533,Northampton Generating Plant
King,Washington,47.4902,-121.8052,114174.45540182224,Centralia Power Plant
Clark,Nevada,36.2152,-115.0135,423825.00632621936,Intermountain power station
San Bernardino,California,34.8414,-116.1784,537337.5393621204,Cholla Generating Station
Tarrant,Texas,32.7719,-97.2911,147213.3999612231,Sandy Creek Plant
Bexar,Texas,29.4489,-98.52,24834.865822783897,J. K. Spruce Station
Broward,Florida,26.1523,-80.4871,263220.4279955423,Big Bend Station
Santa Clara,California,37.2318,-121.6951,564463.8341674949,North Valmy Station
Wayne,Michigan,42.2819,-83.2822,43796.175882684045,Monroe Power Plant
Alameda,California,37.6469,-121.8888,543970.6609372537,North Valmy Station
New York,New York,40.7785,-73.9674,128018.84324255656,Northampton Generating Plant
Middlesex,Massachusetts,42.4856,-71.3918,73081.08136801925,Merrimack Station
Philadelphia,Pennsylvania,40.0077,-75.1339,81435.13108332403,Northampton Generating Plant
Sacramento,California,38.4493,-121.3443,449720.23481569206,North Valmy Station
Suffolk,New York,40.8686,-72.8448,223191.15809970524,Northampton Generating Plant
Palm Beach,Florida,26.6476,-80.4655,214858.8210757238,Stanton Energy Center
Bronx,New York,40.8501,-73.866,137277.19778676072,Northampton Generating Plant
Hillsborough,Florida,27.9291,-82.3091,17575.579795178364,Big Bend Station
Orange,Florida,28.5145,-81.3236,15667.313058698395,Stanton Energy Center
Nassau,New York,40.7328,-73.5865,159950.27884664142,Northampton Generating Plant
Franklin,Ohio,39.9695,-83.0093,138208.5969603737,Gavin Power Plant
