"county","county_ascii","county_full","county_fips","state_id","state_name","lat","lng","population"
"Los Angeles","Los Angeles","Los Angeles County","06037","CA","California","34.3209","-118.2247","10019635"
"Cook","Cook","Cook County","17031","IL","Illinois","41.8401","-87.8168","5265398"
"Harris","Harris","Harris County","48201","TX","Texas","29.8577","-95.3936","4697957"
"Maricopa","Maricopa","Maricopa County","04013","AZ","Arizona","33.3490","-112.4915","4367186"
"San Diego","San Diego","San Diego County","06073","CA","California","33.0343","-116.7350","3296317"
"Orange","Orange","Orange County","06059","CA","California","33.7031","-117.7609","3182923"
"Kings","Kings","Kings County","36047","NY","New York","40.6395","-73.9385","2712360"
"Miami-Dade","Miami-Dade","Miami-Dade County","12086","FL","Florida","25.6150","-80.5623","2690113"
"Dallas","Dallas","Dallas County","48113","TX","Texas","32.7666","-96.7778","2604722"
"Riverside","Riverside","Riverside County","06065","CA","California","33.7436","-115.9938","2409331"
"Queens","Queens","Queens County","36081","NY","New York","40.7023","-73.8203","2393104"
"King","King","King County","53033","WA","Washington","47.4902","-121.8052","2240876"
"Clark","Clark","Clark County","32003","NV","Nevada","36.2152","-115.0135","2231147"
"San Bernardino","San Bernardino","San Bernardino County","06071","CA","California","34.8414","-116.1784","2171071"
"Tarrant","Tarrant","Tarrant County","48439","TX","Texas","32.7719","-97.2911","2091953"
"Bexar","Bexar","Bexar County","48029","TX","Texas","29.4489","-98.5200","1990522"
"Broward","Broward","Broward County","12011","FL","Florida","26.1523","-80.4871","1934551"
"Santa Clara","Santa Clara","Santa Clara County","06085","CA","California","37.2318","-121.6951","1932022"
"Wayne","Wayne","Wayne County","26163","MI","Michigan","42.2819","-83.2822","1789781"
"Alameda","Alameda","Alameda County","06001","CA","California","37.6469","-121.8888","1673133"
"New York","New York","New York County","36061","NY","New York","40.7785","-73.9674","1669127"
"Middlesex","Middlesex","Middlesex County","25017","MA","Massachusetts","42.4856","-71.3918","1623411"
"Philadelphia","Philadelphia","Philadelphia County","42101","PA","Pennsylvania","40.0077","-75.1339","1596865"
"Sacramento","Sacramento","Sacramento County","06067","CA","California","38.4493","-121.3443","1571767"
