FIPS,Location,2014_mortality_ast,perc_mortality_change_ast,2014_mortality_resp,perc_mortality_change_resp,2014_mortality_cwp,perc_mortality_change_cwp
48001,"Anderson County, Texas","1.47 (1.10, 1.94)","-27.82 (-47.77, 5.12)","79.53 (74.91, 84.25)","107.36 (88.20, 127.62)","0.01 (0.00, 0.07)","-16.69 (-85.22, 269.78)"
48003,"Andrews County, Texas","1.49 (1.02, 2.15)","-37.82 (-56.69, -8.78)","99.38 (92.40, 106.82)","103.92 (81.63, 128.72)","0.02 (0.00, 0.08)","-51.18 (-93.60, 152.87)"
48005,"Angelina County, Texas","1.15 (0.88, 1.48)","-35.24 (-51.20, -8.96)","62.14 (59.02, 65.42)","51.80 (38.62, 65.83)","0.02 (0.00, 0.06)","-26.76 (-86.78, 213.26)"
48007,"Aransas County, Texas","1.18 (0.80, 1.65)","-39.71 (-58.86, -8.27)","62.79 (58.82, 67.08)","66.72 (48.93, 87.64)","0.02 (0.00, 0.10)","-52.26 (-95.36, 160.55)"
48009,"Archer County, Texas","0.91 (0.63, 1.26)","-47.01 (-63.01, -22.42)","52.13 (47.62, 57.09)","61.17 (41.57, 83.79)","0.02 (0.00, 0.09)","-5.80 (-87.44, 324.50)"
48011,"Armstrong County, Texas","0.97 (0.64, 1.36)","-44.08 (-61.89, -17.11)","70.20 (62.35, 79.28)","85.61 (59.85, 114.10)","0.03 (0.00, 0.13)","-21.96 (-89.84, 231.07)"
48013,"Atascosa County, Texas","0.83 (0.62, 1.11)","-55.36 (-66.94, -37.58)","49.80 (46.83, 52.96)","29.12 (16.45, 43.26)","0.01 (0.00, 0.04)","-72.09 (-95.48, 23.25)"
48015,"Austin County, Texas","1.14 (0.83, 1.54)","-46.99 (-62.37, -25.44)","50.30 (46.69, 53.93)","47.76 (30.98, 65.56)","0.01 (0.00, 0.05)","-63.68 (-94.78, 53.86)"
48017,"Bailey County, Texas","1.10 (0.76, 1.57)","-48.14 (-63.94, -21.74)","56.82 (51.53, 62.43)","52.99 (33.49, 77.13)","0.04 (0.00, 0.19)","-15.29 (-89.18, 279.71)"
48019,"Bandera County, Texas","0.88 (0.60, 1.26)","-54.66 (-68.28, -32.44)","52.65 (48.95, 56.51)","23.84 (10.12, 38.84)","0.01 (0.00, 0.06)","-51.86 (-91.47, 127.66)"
