"","county","state","geo_id","lung_cancer_per_100000"
"1","Ada","ID",16001,49.9
"2","Adams","ID",16003,38.1
"3","Bannock","ID",16005,36.5
"4","Bear Lake","ID",16007,NA
"5","Benewah","ID",16009,58.7
"6","Bingham","ID",16011,35.2
"7","Blaine","ID",16013,31.4
"8","Boise","ID",16015,48.5
"9","Bonner","ID",16017,51.9
"10","Bonneville","ID",16019,36.3
"11","Boundary","ID",16021,49.7
"12","Butte","ID",16023,NA
"13","Camas","ID",16025,NA
"14","Canyon","ID",16027,54.5
"15","Caribou","ID",16029,NA
"16","Cassia","ID",16031,33.1
"17","Clark","ID",16033,NA
"18","Clearwater","ID",16035,70.5
"19","Custer","ID",16037,39
"20","Elmore","ID",16039,72
"21","Franklin","ID",16041,NA
"22","Fremont","ID",16043,43
"23","Gem","ID",16045,51.2
"24","Gooding","ID",16047,50.3
"25","Idaho","ID",16049,43.1
"26","Jefferson","ID",16051,34.7
"27","Jerome","ID",16053,47.6
"28","Kootenai","ID",16055,64.5
"29","Latah","ID",16057,47.9
"30","Lemhi","ID",16059,47.9
"31","Lewis","ID",16061,70.7
"32","Lincoln","ID",16063,NA
"33","Madison","ID",16065,NA
"34","Minidoka","ID",16067,34.9
"35","Nez Perce","ID",16069,67.3
"36","Oneida","ID",16071,NA
"37","Owyhee","ID",16073,34.7
"38","Payette","ID",16075,60.8
"39","Power","ID",16077,34.5
"40","Shoshone","ID",16079,80.5
"41","Teton","ID",16081,NA
"42","Twin Falls","ID",16083,48.3
"43","Valley","ID",16085,25.5
"44","Washington","ID",16087,50.9
