"","county","state","geo_id","lung_cancer_per_100000"
"1","Beaverhead","MT",30001,46.1
"2","Big Horn","MT",30003,54.1
"3","Blaine","MT",30005,44.2
"4","Broadwater","MT",30007,66.6
"5","Carbon","MT",30009,31.2
"6","Carter","MT",30011,NA
"7","Cascade","MT",30013,59.4
"8","Chouteau","MT",30015,41.3
"9","Custer","MT",30017,62.4
"10","Daniels","MT",30019,NA
"11","Dawson","MT",30021,60.2
"12","Deer Lodge","MT",30023,65.1
"13","Fallon","MT",30025,NA
"14","Fergus","MT",30027,40.1
"15","Flathead","MT",30029,57.1
"16","Gallatin","MT",30031,29.8
"17","Garfield","MT",30033,NA
"18","Glacier","MT",30035,49.5
"19","Golden Valley","MT",30037,NA
"20","Granite","MT",30039,NA
"21","Hill","MT",30041,62.9
"22","Jefferson","MT",30043,43.4
"23","Judith Basin","MT",30045,NA
"24","Lake","MT",30047,56.9
"25","Lewis and Clark","MT",30049,50.3
"26","Liberty","MT",30051,NA
"27","Lincoln","MT",30053,77.1
"28","McCone","MT",30055,NA
"29","Madison","MT",30057,39.5
"30","Meagher","MT",30059,NA
"31","Mineral","MT",30061,45.9
"32","Missoula","MT",30063,44.9
"33","Musselshell","MT",30065,59.2
"34","Park","MT",30067,42.3
"35","Petroleum","MT",30069,NA
"36","Phillips","MT",30071,45
"37","Pondera","MT",30073,70.3
"38","Powder River","MT",30075,NA
"39","Powell","MT",30077,75.7
"40","Prairie","MT",30079,NA
"41","Ravalli","MT",30081,40.7
"42","Richland","MT",30083,63
"43","Roosevelt","MT",30085,56.4
"44","Rosebud","MT",30087,53
"45","Sanders","MT",30089,54.3
"46","Sheridan","MT",30091,54
"47","Silver Bow","MT",30093,53.9
"48","Stillwater","MT",30095,36.8
"49","Sweet Grass","MT",30097,NA
"50","Teton","MT",30099,52.8
"51","Toole","MT",30101,48.7
"52","Treasure","MT",30103,NA
"53","Valley","MT",30105,43.7
"54","Wheatland","MT",30107,NA
"55","Wibaux","MT",30109,NA
"56","Yellowstone","MT",30111,57.4
