"county","state","geo_id","current_smokers"
"Autauga","AL","01001",18
"Baldwin","AL","01003",16.1
"Barbour","AL","01005",24.8
"Bibb","AL","01007",22.4
"Blount","AL","01009",21
"Bullock","AL","01011",25.1
"Butler","AL","01013",20.9
"Calhoun","AL","01015",20
"Chambers","AL","01017",20.6
"Cherokee","AL","01019",21.1
"Chilton","AL","01021",21.5
"Choctaw","AL","01023",20.2
"Clarke","AL","01025",21.8
"Clay","AL","01027",21.9
"Cleburne","AL","01029",21.1
"Coffee","AL","01031",19
"Colbert","AL","01033",19.7
"Conecuh","AL","01035",22
"Coosa","AL","01037",20.3
"Covington","AL","01039",20.1
"Crenshaw","AL","01041",21.1
"Cullman","AL","01043",20.1
"Dale","AL","01045",19.7
"Dallas","AL","01047",21.8
"DeKalb","AL","01049",22.2
"Elmore","AL","01051",18.3
"Escambia","AL","01053",23.5
"Etowah","AL","01055",19.7
"Fayette","AL","01057",22.3
"Franklin","AL","01059",22
"Geneva","AL","01061",22.7
"Greene","AL","01063",24.5
"Hale","AL","01065",22.3
"Henry","AL","01067",19.6
"Houston","AL","01069",19.7
"Jackson","AL","01071",21
"Jefferson","AL","01073",15.6
"Lamar","AL","01075",20.7
"Lauderdale","AL","01077",17.4
"Lawrence","AL","01079",21.9
"Lee","AL","01081",15.7
"Limestone","AL","01083",18.4
"Lowndes","AL","01085",22.7
"Macon","AL","01087",18.6
"Madison","AL","01089",15.3
"Marengo","AL","01091",19.8
"Marion","AL","01093",21.5
"Marshall","AL","01095",20.3
"Mobile","AL","01097",19.7
"Monroe","AL","01099",21.7
"Montgomery","AL","01101",16.7
"Morgan","AL","01103",20
"Perry","AL","01105",24.4
"Pickens","AL","01107",22.4
"Pike","AL","01109",17.5
"Randolph","AL","01111",19.8
"Russell","AL","01113",21.3
"St. Clair","AL","01115",20
"Shelby","AL","01117",13.5
"Sumter","AL","01119",19.9
"Talladega","AL","01121",21.5
"Tallapoosa","AL","01123",20.1
"Tuscaloosa","AL","01125",17
"Walker","AL","01127",21.7
"Washington","AL","01129",21.4
"Wilcox","AL","01131",23.5
"Winston","AL","01133",22.3
"Aleutians East","AK","02013",18.5
"Aleutians West","AK","02016",16.7
"Anchorage","AK","02020",15.7
"Bethel","AK","02050",34
"Bristol Bay","AK","02060",17.8
"Denali","AK","02068",17.4
"Dillingham","AK","02070",28.4
"Fairbanks North Star","AK","02090",15.7
"Haines","AK","02100",17.1
"Hoonah-Angoon","AK","02105",20.5
"Juneau","AK","02110",14.8
"Kenai Peninsula","AK","02122",18.5
"Ketchikan Gateway","AK","02130",16.8
"Kodiak Island","AK","02150",16.4
"Lake and Peninsula","AK","02164",25.1
"Matanuska-Susitna","AK","02170",18.8
"Nome","AK","02180",30.3
"North Slope","AK","02185",24.8
"Northwest Arctic","AK","02188",31.6
"Petersburg","AK","02195",17.1
"Prince of Wales-Hyder","AK","02198",23.7
"Sitka","AK","02220",15.4
"Skagway","AK","02230",18.3
"Southeast Fairbanks","AK","02240",18.7
"Valdez-Cordova","AK","02261",NA
"Wade Hampton","AK","02270",NA
"Wrangell","AK","02275",18.8
"Yakutat","AK","02282",21
"Yukon-Koyukuk","AK","02290",28.6
"Apache","AZ","04001",25.1
"Cochise","AZ","04003",16.1
"Coconino","AZ","04005",16.1
"Gila","AZ","04007",20.6
"Graham","AZ","04009",18.8
"Greenlee","AZ","04011",16.3
"La Paz","AZ","04012",17.3
"Maricopa","AZ","04013",14.2
"Mohave","AZ","04015",18.7
"Navajo","AZ","04017",22.2
"Pima","AZ","04019",14.6
"Pinal","AZ","04021",17.9
"Santa Cruz","AZ","04023",14.2
"Yavapai","AZ","04025",15.3
"Yuma","AZ","04027",15.1
"Arkansas","AR","05001",21.3
"Ashley","AR","05003",23.6
"Baxter","AR","05005",19.3
"Benton","AR","05007",16.2
"Boone","AR","05009",20.7
"Bradley","AR","05011",21.4
"Calhoun","AR","05013",21.3
"Carroll","AR","05015",19.1
"Chicot","AR","05017",24.8
"Clark","AR","05019",18.3
"Clay","AR","05021",22.8
"Cleburne","AR","05023",20.1
"Cleveland","AR","05025",22.2
"Columbia","AR","05027",20.6
"Conway","AR","05029",23
"Craighead","AR","05031",20
"Crawford","AR","05033",22.6
"Crittenden","AR","05035",21.8
"Cross","AR","05037",22.8
"Dallas","AR","05039",20.8
"Desha","AR","05041",24.5
"Drew","AR","05043",20.9
"Faulkner","AR","05045",19.1
"Franklin","AR","05047",23.4
"Fulton","AR","05049",23.4
"Garland","AR","05051",19
"Grant","AR","05053",19.5
"Greene","AR","05055",22.2
"Hempstead","AR","05057",21.8
"Hot Spring","AR","05059",22
"Howard","AR","05061",21.5
"Independence","AR","05063",20.6
"Izard","AR","05065",22.1
"Jackson","AR","05067",25.3
"Jefferson","AR","05069",21.4
"Johnson","AR","05071",23.2
"Lafayette","AR","05073",24
"Lawrence","AR","05075",22.2
"Lee","AR","05077",26.3
"Lincoln","AR","05079",24.7
"Little River","AR","05081",20.2
"Logan","AR","05083",22.5
"Lonoke","AR","05085",20.6
"Madison","AR","05087",24.2
"Marion","AR","05089",21.2
"Miller","AR","05091",21.7
"Mississippi","AR","05093",23.5
"Monroe","AR","05095",23.4
"Montgomery","AR","05097",21.3
"Nevada","AR","05099",21.2
"Newton","AR","05101",19.8
"Ouachita","AR","05103",23
"Perry","AR","05105",21.1
"Phillips","AR","05107",23.1
"Pike","AR","05109",21.1
"Poinsett","AR","05111",24.9
"Polk","AR","05113",22.3
"Pope","AR","05115",20.6
"Prairie","AR","05117",20.3
"Pulaski","AR","05119",17.8
"Randolph","AR","05121",23.9
"St. Francis","AR","05123",25.7
"Saline","AR","05125",17.1
"Scott","AR","05127",23.1
"Searcy","AR","05129",24.8
"Sebastian","AR","05131",20.6
"Sevier","AR","05133",21.4
"Sharp","AR","05135",22.8
"Stone","AR","05137",24
"Union","AR","05139",20.3
"Van Buren","AR","05141",22
"Washington","AR","05143",18.1
"White","AR","05145",20.6
"Woodruff","AR","05147",22.8
"Yell","AR","05149",22.5
"Alameda","CA","06001",10
"Alpine","CA","06003",12.3
"Amador","CA","06005",13.4
"Butte","CA","06007",14
"Calaveras","CA","06009",13.3
"Colusa","CA","06011",13.8
"Contra Costa","CA","06013",9.9
"Del Norte","CA","06015",17.2
"El Dorado","CA","06017",11.3
"Fresno","CA","06019",14
"Glenn","CA","06021",15.2
"Humboldt","CA","06023",14.7
"Imperial","CA","06025",13.6
"Inyo","CA","06027",12.9
"Kern","CA","06029",15
"Kings","CA","06031",15
"Lake","CA","06033",15.9
"Lassen","CA","06035",17
"Los Angeles","CA","06037",10.4
"Madera","CA","06039",15.2
"Marin","CA","06041",8.2
"Mariposa","CA","06043",13.1
"Mendocino","CA","06045",14.2
"Merced","CA","06047",14.7
"Modoc","CA","06049",15.2
"Mono","CA","06051",12.5
"Monterey","CA","06053",12.1
"Napa","CA","06055",10.6
"Nevada","CA","06057",11.1
"Orange","CA","06059",10.3
"Placer","CA","06061",9.9
"Plumas","CA","06063",12.5
"Riverside","CA","06065",12.7
"Sacramento","CA","06067",12.6
"San Benito","CA","06069",11.8
"San Bernardino","CA","06071",13.5
"San Diego","CA","06073",10.7
"San Francisco","CA","06075",9.2
"San Joaquin","CA","06077",13.7
"San Luis Obispo","CA","06079",10.4
"San Mateo","CA","06081",8.6
"Santa Barbara","CA","06083",10.7
"Santa Clara","CA","06085",8.4
"Santa Cruz","CA","06087",10.5
"Shasta","CA","06089",14.6
"Sierra","CA","06091",12.9
"Siskiyou","CA","06093",14.7
"Solano","CA","06095",11.6
"Sonoma","CA","06097",11.4
"Stanislaus","CA","06099",14.2
"Sutter","CA","06101",13.9
"Tehama","CA","06103",15.7
"Trinity","CA","06105",16.2
"Tulare","CA","06107",15.4
"Tuolumne","CA","06109",12.8
"Ventura","CA","06111",10.8
"Yolo","CA","06113",11
"Yuba","CA","06115",15.2
"Adams","CO","08001",14.7
"Alamosa","CO","08003",15.8
"Arapahoe","CO","08005",13.3
"Archuleta","CO","08007",13.2
"Baca","CO","08009",17.7
"Bent","CO","08011",20.2
"Boulder","CO","08013",10.7
"Broomfield","CO","08014",10.8
"Chaffee","CO","08015",14.4
"Cheyenne","CO","08017",15.1
"Clear Creek","CO","08019",12.5
"Conejos","CO","08021",15.5
"Costilla","CO","08023",15.6
"Crowley","CO","08025",21.9
"Custer","CO","08027",13
"Delta","CO","08029",17.9
"Denver","CO","08031",14.2
"Dolores","CO","08033",14.1
"Douglas","CO","08035",9.4
"Eagle","CO","08037",12
"Elbert","CO","08039",13.7
"El Paso","CO","08041",14.7
"Fremont","CO","08043",18.2
"Garfield","CO","08045",15.2
"Gilpin","CO","08047",12.7
"Grand","CO","08049",13.9
"Gunnison","CO","08051",12
"Hinsdale","CO","08053",12.2
"Huerfano","CO","08055",13.7
"Jackson","CO","08057",15.1
"Jefferson","CO","08059",11.8
"Kiowa","CO","08061",16.6
"Kit Carson","CO","08063",17.1
"Lake","CO","08065",14.2
"La Plata","CO","08067",13.5
"Larimer","CO","08069",12.2
"Las Animas","CO","08071",15.5
"Lincoln","CO","08073",19.2
"Logan","CO","08075",18
"Mesa","CO","08077",15.6
"Mineral","CO","08079",11
"Moffat","CO","08081",18.2
"Montezuma","CO","08083",17.2
"Montrose","CO","08085",15.5
"Morgan","CO","08087",17.1
"Otero","CO","08089",17.2
"Ouray","CO","08091",11
"Park","CO","08093",14.5
"Phillips","CO","08095",15.8
"Pitkin","CO","08097",10.3
"Prowers","CO","08099",17.6
"Pueblo","CO","08101",16.8
"Rio Blanco","CO","08103",16.7
"Rio Grande","CO","08105",14.9
"Routt","CO","08107",12.6
"Saguache","CO","08109",16.7
"San Juan","CO","08111",15.7
"San Miguel","CO","08113",12.4
"Sedgwick","CO","08115",16.4
"Summit","CO","08117",12.9
"Teller","CO","08119",14.1
"Washington","CO","08121",16.6
"Weld","CO","08123",14
"Yuma","CO","08125",16.5
"Fairfield","CT","09001",10.2
"Hartford","CT","09003",14.5
"Litchfield","CT","09005",14.7
"Middlesex","CT","09007",13.4
"New Haven","CT","09009",14.8
"New London","CT","09011",14.6
"Tolland","CT","09013",12.1
"Windham","CT","09015",17.1
"Kent","DE","10001",19.1
"New Castle","DE","10003",14.5
"Sussex","DE","10005",14.9
"District of Columbia","DC","11001",12.5
"Alachua","FL","12001",14.8
"Baker","FL","12003",24.7
"Bay","FL","12005",20.2
"Bradford","FL","12007",25.4
"Brevard","FL","12009",15.6
"Broward","FL","12011",15.5
"Calhoun","FL","12013",24.8
"Charlotte","FL","12015",16.3
"Citrus","FL","12017",19.9
"Clay","FL","12019",19.3
"Collier","FL","12021",13.4
"Columbia","FL","12023",22.4
"DeSoto","FL","12027",23.2
"Dixie","FL","12029",25
"Duval","FL","12031",18.4
"Escambia","FL","12033",18.6
"Flagler","FL","12035",17.2
"Franklin","FL","12037",22.4
"Gadsden","FL","12039",22.2
"Gilchrist","FL","12041",22.4
"Glades","FL","12043",22.7
"Gulf","FL","12045",19.7
"Hamilton","FL","12047",27.9
