"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Lung/Bronchus Cancer Rate","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","r_l_allr_u_alla","TimeFrame","GeoVintage","Source","Location"
"County","Ada","ID","16001","=""16001""","49.9","2014-2018","2010","CDC","Idaho (State)"
"County","Adams","ID","16003","=""16003""","38.1","2014-2018","2010","CDC","Idaho (State)"
"County","Bannock","ID","16005","=""16005""","36.5","2014-2018","2010","CDC","Idaho (State)"
"County","Bear Lake","ID","16007","=""16007""","N/A","2014-2018","2010","CDC","Idaho (State)"
"County","Benewah","ID","16009","=""16009""","58.7","2014-2018","2010","CDC","Idaho (State)"
"County","Bingham","ID","16011","=""16011""","35.2","2014-2018","2010","CDC","Idaho (State)"
"County","Blaine","ID","16013","=""16013""","31.4","2014-2018","2010","CDC","Idaho (State)"
"County","Boise","ID","16015","=""16015""","48.5","2014-2018","2010","CDC","Idaho (State)"
"County","Bonner","ID","16017","=""16017""","51.9","2014-2018","2010","CDC","Idaho (State)"
"County","Bonneville","ID","16019","=""16019""","36.3","2014-2018","2010","CDC","Idaho (State)"
"County","Boundary","ID","16021","=""16021""","49.7","2014-2018","2010","CDC","Idaho (State)"
"County","Butte","ID","16023","=""16023""","N/A","2014-2018","2010","CDC","Idaho (State)"
"County","Camas","ID","16025","=""16025""","N/A","2014-2018","2010","CDC","Idaho (State)"
"County","Canyon","ID","16027","=""16027""","54.5","2014-2018","2010","CDC","Idaho (State)"
"County","Caribou","ID","16029","=""16029""","N/A","2014-2018","2010","CDC","Idaho (State)"
"County","Cassia","ID","16031","=""16031""","33.1","2014-2018","2010","CDC","Idaho (State)"
"County","Clark","ID","16033","=""16033""","N/A","2014-2018","2010","CDC","Idaho (State)"
"County","Clearwater","ID","16035","=""16035""","70.5","2014-2018","2010","CDC","Idaho (State)"
"County","Custer","ID","16037","=""16037""","39.0","2014-2018","2010","CDC","Idaho (State)"
"County","Elmore","ID","16039","=""16039""","72.0","2014-2018","2010","CDC","Idaho (State)"
"County","Franklin","ID","16041","=""16041""","N/A","2014-2018","2010","CDC","Idaho (State)"
"County","Fremont","ID","16043","=""16043""","43.0","2014-2018","2010","CDC","Idaho (State)"
"County","Gem","ID","16045","=""16045""","51.2","2014-2018","2010","CDC","Idaho (State)"
"County","Gooding","ID","16047","=""16047""","50.3","2014-2018","2010","CDC","Idaho (State)"
"County","Idaho","ID","16049","=""16049""","43.1","2014-2018","2010","CDC","Idaho (State)"
"County","Jefferson","ID","16051","=""16051""","34.7","2014-2018","2010","CDC","Idaho (State)"
"County","Jerome","ID","16053","=""16053""","47.6","2014-2018","2010","CDC","Idaho (State)"
"County","Kootenai","ID","16055","=""16055""","64.5","2014-2018","2010","CDC","Idaho (State)"
"County","Latah","ID","16057","=""16057""","47.9","2014-2018","2010","CDC","Idaho (State)"
"County","Lemhi","ID","16059","=""16059""","47.9","2014-2018","2010","CDC","Idaho (State)"
"County","Lewis","ID","16061","=""16061""","70.7","2014-2018","2010","CDC","Idaho (State)"
"County","Lincoln","ID","16063","=""16063""","N/A","2014-2018","2010","CDC","Idaho (State)"
"County","Madison","ID","16065","=""16065""","N/A","2014-2018","2010","CDC","Idaho (State)"
"County","Minidoka","ID","16067","=""16067""","34.9","2014-2018","2010","CDC","Idaho (State)"
"County","Nez Perce","ID","16069","=""16069""","67.3","2014-2018","2010","CDC","Idaho (State)"
"County","Oneida","ID","16071","=""16071""","N/A","2014-2018","2010","CDC","Idaho (State)"
"County","Owyhee","ID","16073","=""16073""","34.7","2014-2018","2010","CDC","Idaho (State)"
"County","Payette","ID","16075","=""16075""","60.8","2014-2018","2010","CDC","Idaho (State)"
"County","Power","ID","16077","=""16077""","34.5","2014-2018","2010","CDC","Idaho (State)"
"County","Shoshone","ID","16079","=""16079""","80.5","2014-2018","2010","CDC","Idaho (State)"
"County","Teton","ID","16081","=""16081""","N/A","2014-2018","2010","CDC","Idaho (State)"
"County","Twin Falls","ID","16083","=""16083""","48.3","2014-2018","2010","CDC","Idaho (State)"
"County","Valley","ID","16085","=""16085""","25.5","2014-2018","2010","CDC","Idaho (State)"
"County","Washington","ID","16087","=""16087""","50.9","2014-2018","2010","CDC","Idaho (State)"
