"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Lung/Bronchus Cancer Rate","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","r_l_allr_u_alla","TimeFrame","GeoVintage","Source","Location"
"County","Albany","WY","56001","=""56001""","32.3","2014-2018","2010","CDC","Wyoming (State)"
"County","Big Horn","WY","56003","=""56003""","44.8","2014-2018","2010","CDC","Wyoming (State)"
"County","Campbell","WY","56005","=""56005""","57.8","2014-2018","2010","CDC","Wyoming (State)"
"County","Carbon","WY","56007","=""56007""","45.7","2014-2018","2010","CDC","Wyoming (State)"
"County","Converse","WY","56009","=""56009""","31.9","2014-2018","2010","CDC","Wyoming (State)"
"County","Crook","WY","56011","=""56011""","50.6","2014-2018","2010","CDC","Wyoming (State)"
"County","Fremont","WY","56013","=""56013""","36.2","2014-2018","2010","CDC","Wyoming (State)"
"County","Goshen","WY","56015","=""56015""","38.7","2014-2018","2010","CDC","Wyoming (State)"
"County","Hot Springs","WY","56017","=""56017""","38.9","2014-2018","2010","CDC","Wyoming (State)"
"County","Johnson","WY","56019","=""56019""","59.1","2014-2018","2010","CDC","Wyoming (State)"
"County","Laramie","WY","56021","=""56021""","47.5","2014-2018","2010","CDC","Wyoming (State)"
"County","Lincoln","WY","56023","=""56023""","32.0","2014-2018","2010","CDC","Wyoming (State)"
"County","Natrona","WY","56025","=""56025""","53.6","2014-2018","2010","CDC","Wyoming (State)"
"County","Niobrara","WY","56027","=""56027""","N/A","2014-2018","2010","CDC","Wyoming (State)"
"County","Park","WY","56029","=""56029""","31.0","2014-2018","2010","CDC","Wyoming (State)"
"County","Platte","WY","56031","=""56031""","27.4","2014-2018","2010","CDC","Wyoming (State)"
"County","Sheridan","WY","56033","=""56033""","41.3","2014-2018","2010","CDC","Wyoming (State)"
"County","Sublette","WY","56035","=""56035""","N/A","2014-2018","2010","CDC","Wyoming (State)"
"County","Sweetwater","WY","56037","=""56037""","45.4","2014-2018","2010","CDC","Wyoming (State)"
"County","Teton","WY","56039","=""56039""","20.9","2014-2018","2010","CDC","Wyoming (State)"
"County","Uinta","WY","56041","=""56041""","34.0","2014-2018","2010","CDC","Wyoming (State)"
"County","Washakie","WY","56043","=""56043""","34.9","2014-2018","2010","CDC","Wyoming (State)"
"County","Weston","WY","56045","=""56045""","65.1","2014-2018","2010","CDC","Wyoming (State)"
