"measure_id","measure_name","location_id","location_name","FIPS","cause_id","cause_name","sex_id","sex","age_id","age_name","year_id","metric","mx","lower","upper"
1,"Deaths",551,"Nevada",32,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1980,"Rate",97.3572755427828,93.4974766159463,101.482837553658
1,"Deaths",551,"Nevada",32,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1981,"Rate",99.0922370829928,95.1160770850101,103.092548461164
1,"Deaths",551,"Nevada",32,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1982,"Rate",97.8614450278479,94.0266784014078,101.441423417251
1,"Deaths",551,"Nevada",32,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1983,"Rate",95.3922014961034,91.8486331278018,99.1475670203581
1,"Deaths",551,"Nevada",32,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1984,"Rate",92.2483242790802,88.6456218288685,95.4473817291015
1,"Deaths",551,"Nevada",32,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1985,"Rate",96.1197142884694,92.766156481284,99.7449870339083
1,"Deaths",551,"Nevada",32,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1986,"Rate",93.9496810516405,90.7325309833639,97.4482074961496
1,"Deaths",551,"Nevada",32,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1987,"Rate",97.8040012523407,94.6383835815545,101.37756984963
1,"Deaths",551,"Nevada",32,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1988,"Rate",101.076576709578,97.6103361662587,104.603113365381
1,"Deaths",551,"Nevada",32,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1989,"Rate",95.0520027369493,91.8923915083946,98.4775855589989
1,"Deaths",551,"Nevada",32,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1990,"Rate",93.9058143305386,90.690939546949,97.154377701445
1,"Deaths",551,"Nevada",32,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1991,"Rate",93.5603878020253,90.4554396862485,96.8755630235905
1,"Deaths",551,"Nevada",32,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1992,"Rate",90.6610280987295,87.7722297116488,93.8890383640282
1,"Deaths",551,"Nevada",32,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1993,"Rate",92.6340804197863,89.6471546559812,96.0009627550489
1,"Deaths",551,"Nevada",32,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1994,"Rate",92.6856733554959,89.5315589085475,95.8909016616441
1,"Deaths",551,"Nevada",32,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1995,"Rate",91.8271451465969,88.6647636856646,95.1336473097693
1,"Deaths",551,"Nevada",32,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1996,"Rate",91.3361607992262,88.20702461837,94.5724450632682
1,"Deaths",551,"Nevada",32,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1997,"Rate",85.828494558662,83.1272983045406,88.7952593482948
1,"Deaths",551,"Nevada",32,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1998,"Rate",86.6626876893308,83.7750182229307,89.7830981412335
1,"Deaths",551,"Nevada",32,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1999,"Rate",85.3380341516159,82.5490360928902,88.0963789613631
1,"Deaths",551,"Nevada",32,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",2000,"Rate",84.9108482844595,82.2935687502453,87.6623657831996
1,"Deaths",551,"Nevada",32,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",2001,"Rate",85.0480498073793,82.3969961876846,87.6523004711007
1,"Deaths",551,"Nevada",32,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",2002,"Rate",84.5994644634326,81.9702120856882,87.3328540035852
1,"Deaths",551,"Nevada",32,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",2003,"Rate",82.7007242697286,80.0954230731393,85.4951059559403
1,"Deaths",551,"Nevada",32,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",2004,"Rate",77.9986383199804,75.658922057848,80.6701372770374
