"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Lung/Bronchus Cancer Rate","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","r_l_allr_u_alla","TimeFrame","GeoVintage","Source","Location"
"County","Alamance","NC","37001","=""37001""","74.2","2014-2018","2010","CDC","North Carolina (State)"
"County","Alexander","NC","37003","=""37003""","72.5","2014-2018","2010","CDC","North Carolina (State)"
"County","Alleghany","NC","37005","=""37005""","66.9","2014-2018","2010","CDC","North Carolina (State)"
"County","Anson","NC","37007","=""37007""","65.5","2014-2018","2010","CDC","North Carolina (State)"
"County","Ashe","NC","37009","=""37009""","60.6","2014-2018","2010","CDC","North Carolina (State)"
"County","Avery","NC","37011","=""37011""","63.4","2014-2018","2010","CDC","North Carolina (State)"
"County","Beaufort","NC","37013","=""37013""","69.1","2014-2018","2010","CDC","North Carolina (State)"
"County","Bertie","NC","37015","=""37015""","63.3","2014-2018","2010","CDC","North Carolina (State)"
"County","Bladen","NC","37017","=""37017""","71.7","2014-2018","2010","CDC","North Carolina (State)"
"County","Brunswick","NC","37019","=""37019""","65.3","2014-2018","2010","CDC","North Carolina (State)"
"County","Buncombe","NC","37021","=""37021""","67.1","2014-2018","2010","CDC","North Carolina (State)"
"County","Burke","NC","37023","=""37023""","73.6","2014-2018","2010","CDC","North Carolina (State)"
"County","Cabarrus","NC","37025","=""37025""","67.1","2014-2018","2010","CDC","North Carolina (State)"
"County","Caldwell","NC","37027","=""37027""","74.9","2014-2018","2010","CDC","North Carolina (State)"
"County","Camden","NC","37029","=""37029""","63.4","2014-2018","2010","CDC","North Carolina (State)"
"County","Carteret","NC","37031","=""37031""","73.0","2014-2018","2010","CDC","North Carolina (State)"
"County","Caswell","NC","37033","=""37033""","72.3","2014-2018","2010","CDC","North Carolina (State)"
"County","Catawba","NC","37035","=""37035""","66.0","2014-2018","2010","CDC","North Carolina (State)"
"County","Chatham","NC","37037","=""37037""","46.7","2014-2018","2010","CDC","North Carolina (State)"
"County","Cherokee","NC","37039","=""37039""","66.4","2014-2018","2010","CDC","North Carolina (State)"
"County","Chowan","NC","37041","=""37041""","62.2","2014-2018","2010","CDC","North Carolina (State)"
"County","Clay","NC","37043","=""37043""","55.4","2014-2018","2010","CDC","North Carolina (State)"
"County","Cleveland","NC","37045","=""37045""","73.2","2014-2018","2010","CDC","North Carolina (State)"
"County","Columbus","NC","37047","=""37047""","68.6","2014-2018","2010","CDC","North Carolina (State)"
"County","Craven","NC","37049","=""37049""","81.0","2014-2018","2010","CDC","North Carolina (State)"
"County","Cumberland","NC","37051","=""37051""","69.3","2014-2018","2010","CDC","North Carolina (State)"
"County","Currituck","NC","37053","=""37053""","69.3","2014-2018","2010","CDC","North Carolina (State)"
"County","Dare","NC","37055","=""37055""","68.3","2014-2018","2010","CDC","North Carolina (State)"
"County","Davidson","NC","37057","=""37057""","84.0","2014-2018","2010","CDC","North Carolina (State)"
"County","Davie","NC","37059","=""37059""","74.5","2014-2018","2010","CDC","North Carolina (State)"
"County","Duplin","NC","37061","=""37061""","61.1","2014-2018","2010","CDC","North Carolina (State)"
"County","Durham","NC","37063","=""37063""","54.3","2014-2018","2010","CDC","North Carolina (State)"
"County","Edgecombe","NC","37065","=""37065""","72.3","2014-2018","2010","CDC","North Carolina (State)"
"County","Forsyth","NC","37067","=""37067""","68.4","2014-2018","2010","CDC","North Carolina (State)"
"County","Franklin","NC","37069","=""37069""","76.7","2014-2018","2010","CDC","North Carolina (State)"
"County","Gaston","NC","37071","=""37071""","80.8","2014-2018","2010","CDC","North Carolina (State)"
"County","Gates","NC","37073","=""37073""","53.4","2014-2018","2010","CDC","North Carolina (State)"
"County","Graham","NC","37075","=""37075""","76.9","2014-2018","2010","CDC","North Carolina (State)"
"County","Granville","NC","37077","=""37077""","79.3","2014-2018","2010","CDC","North Carolina (State)"
"County","Greene","NC","37079","=""37079""","84.3","2014-2018","2010","CDC","North Carolina (State)"
"County","Guilford","NC","37081","=""37081""","64.9","2014-2018","2010","CDC","North Carolina (State)"
"County","Halifax","NC","37083","=""37083""","72.1","2014-2018","2010","CDC","North Carolina (State)"
"County","Harnett","NC","37085","=""37085""","78.1","2014-2018","2010","CDC","North Carolina (State)"
"County","Haywood","NC","37087","=""37087""","76.2","2014-2018","2010","CDC","North Carolina (State)"
"County","Henderson","NC","37089","=""37089""","54.8","2014-2018","2010","CDC","North Carolina (State)"
"County","Hertford","NC","37091","=""37091""","62.6","2014-2018","2010","CDC","North Carolina (State)"
"County","Hoke","NC","37093","=""37093""","69.9","2014-2018","2010","CDC","North Carolina (State)"
"County","Hyde","NC","37095","=""37095""","65.4","2014-2018","2010","CDC","North Carolina (State)"
"County","Iredell","NC","37097","=""37097""","66.3","2014-2018","2010","CDC","North Carolina (State)"
"County","Jackson","NC","37099","=""37099""","60.8","2014-2018","2010","CDC","North Carolina (State)"
"County","Johnston","NC","37101","=""37101""","78.8","2014-2018","2010","CDC","North Carolina (State)"
"County","Jones","NC","37103","=""37103""","72.7","2014-2018","2010","CDC","North Carolina (State)"
"County","Lee","NC","37105","=""37105""","71.3","2014-2018","2010","CDC","North Carolina (State)"
"County","Lenoir","NC","37107","=""37107""","79.9","2014-2018","2010","CDC","North Carolina (State)"
"County","Lincoln","NC","37109","=""37109""","70.4","2014-2018","2010","CDC","North Carolina (State)"
"County","McDowell","NC","37111","=""37111""","84.7","2014-2018","2010","CDC","North Carolina (State)"
"County","Macon","NC","37113","=""37113""","63.0","2014-2018","2010","CDC","North Carolina (State)"
"County","Madison","NC","37115","=""37115""","77.4","2014-2018","2010","CDC","North Carolina (State)"
"County","Martin","NC","37117","=""37117""","81.5","2014-2018","2010","CDC","North Carolina (State)"
"County","Mecklenburg","NC","37119","=""37119""","51.9","2014-2018","2010","CDC","North Carolina (State)"
"County","Mitchell","NC","37121","=""37121""","70.2","2014-2018","2010","CDC","North Carolina (State)"
"County","Montgomery","NC","37123","=""37123""","66.8","2014-2018","2010","CDC","North Carolina (State)"
"County","Moore","NC","37125","=""37125""","56.5","2014-2018","2010","CDC","North Carolina (State)"
"County","Nash","NC","37127","=""37127""","69.5","2014-2018","2010","CDC","North Carolina (State)"
"County","New Hanover","NC","37129","=""37129""","62.7","2014-2018","2010","CDC","North Carolina (State)"
"County","Northampton","NC","37131","=""37131""","65.3","2014-2018","2010","CDC","North Carolina (State)"
"County","Onslow","NC","37133","=""37133""","96.5","2014-2018","2010","CDC","North Carolina (State)"
"County","Orange","NC","37135","=""37135""","52.4","2014-2018","2010","CDC","North Carolina (State)"
"County","Pamlico","NC","37137","=""37137""","80.7","2014-2018","2010","CDC","North Carolina (State)"
"County","Pasquotank","NC","37139","=""37139""","73.1","2014-2018","2010","CDC","North Carolina (State)"
"County","Pender","NC","37141","=""37141""","70.4","2014-2018","2010","CDC","North Carolina (State)"
"County","Perquimans","NC","37143","=""37143""","55.1","2014-2018","2010","CDC","North Carolina (State)"
"County","Person","NC","37145","=""37145""","65.3","2014-2018","2010","CDC","North Carolina (State)"
"County","Pitt","NC","37147","=""37147""","59.0","2014-2018","2010","CDC","North Carolina (State)"
"County","Polk","NC","37149","=""37149""","42.8","2014-2018","2010","CDC","North Carolina (State)"
"County","Randolph","NC","37151","=""37151""","83.8","2014-2018","2010","CDC","North Carolina (State)"
"County","Richmond","NC","37153","=""37153""","76.6","2014-2018","2010","CDC","North Carolina (State)"
"County","Robeson","NC","37155","=""37155""","77.7","2014-2018","2010","CDC","North Carolina (State)"
"County","Rockingham","NC","37157","=""37157""","79.8","2014-2018","2010","CDC","North Carolina (State)"
"County","Rowan","NC","37159","=""37159""","78.4","2014-2018","2010","CDC","North Carolina (State)"
"County","Rutherford","NC","37161","=""37161""","67.5","2014-2018","2010","CDC","North Carolina (State)"
"County","Sampson","NC","37163","=""37163""","75.1","2014-2018","2010","CDC","North Carolina (State)"
"County","Scotland","NC","37165","=""37165""","84.9","2014-2018","2010","CDC","North Carolina (State)"
"County","Stanly","NC","37167","=""37167""","72.7","2014-2018","2010","CDC","North Carolina (State)"
"County","Stokes","NC","37169","=""37169""","80.8","2014-2018","2010","CDC","North Carolina (State)"
"County","Surry","NC","37171","=""37171""","85.1","2014-2018","2010","CDC","North Carolina (State)"
"County","Swain","NC","37173","=""37173""","81.6","2014-2018","2010","CDC","North Carolina (State)"
"County","Transylvania","NC","37175","=""37175""","60.4","2014-2018","2010","CDC","North Carolina (State)"
"County","Tyrrell","NC","37177","=""37177""","63.1","2014-2018","2010","CDC","North Carolina (State)"
"County","Union","NC","37179","=""37179""","55.3","2014-2018","2010","CDC","North Carolina (State)"
"County","Vance","NC","37181","=""37181""","78.4","2014-2018","2010","CDC","North Carolina (State)"
"County","Wake","NC","37183","=""37183""","51.3","2014-2018","2010","CDC","North Carolina (State)"
"County","Warren","NC","37185","=""37185""","61.2","2014-2018","2010","CDC","North Carolina (State)"
"County","Washington","NC","37187","=""37187""","76.5","2014-2018","2010","CDC","North Carolina (State)"
"County","Watauga","NC","37189","=""37189""","47.4","2014-2018","2010","CDC","North Carolina (State)"
"County","Wayne","NC","37191","=""37191""","74.0","2014-2018","2010","CDC","North Carolina (State)"
"County","Wilkes","NC","37193","=""37193""","70.5","2014-2018","2010","CDC","North Carolina (State)"
"County","Wilson","NC","37195","=""37195""","68.8","2014-2018","2010","CDC","North Carolina (State)"
"County","Yadkin","NC","37197","=""37197""","68.8","2014-2018","2010","CDC","North Carolina (State)"
"County","Yancey","NC","37199","=""37199""","74.6","2014-2018","2010","CDC","North Carolina (State)"
