"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Lung/Bronchus Cancer Rate","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","r_l_allr_u_alla","TimeFrame","GeoVintage","Source","Location"
"County","Abbeville","SC","45001","=""45001""","65.9","2014-2018","2010","CDC","South Carolina (State)"
"County","Aiken","SC","45003","=""45003""","50.9","2014-2018","2010","CDC","South Carolina (State)"
"County","Allendale","SC","45005","=""45005""","57.4","2014-2018","2010","CDC","South Carolina (State)"
"County","Anderson","SC","45007","=""45007""","66.3","2014-2018","2010","CDC","South Carolina (State)"
"County","Bamberg","SC","45009","=""45009""","70.9","2014-2018","2010","CDC","South Carolina (State)"
"County","Barnwell","SC","45011","=""45011""","68.9","2014-2018","2010","CDC","South Carolina (State)"
"County","Beaufort","SC","45013","=""45013""","42.4","2014-2018","2010","CDC","South Carolina (State)"
"County","Berkeley","SC","45015","=""45015""","68.0","2014-2018","2010","CDC","South Carolina (State)"
"County","Calhoun","SC","45017","=""45017""","65.2","2014-2018","2010","CDC","South Carolina (State)"
"County","Charleston","SC","45019","=""45019""","58.6","2014-2018","2010","CDC","South Carolina (State)"
"County","Cherokee","SC","45021","=""45021""","79.8","2014-2018","2010","CDC","South Carolina (State)"
"County","Chester","SC","45023","=""45023""","79.4","2014-2018","2010","CDC","South Carolina (State)"
"County","Chesterfield","SC","45025","=""45025""","74.5","2014-2018","2010","CDC","South Carolina (State)"
"County","Clarendon","SC","45027","=""45027""","56.0","2014-2018","2010","CDC","South Carolina (State)"
"County","Colleton","SC","45029","=""45029""","84.5","2014-2018","2010","CDC","South Carolina (State)"
"County","Darlington","SC","45031","=""45031""","70.6","2014-2018","2010","CDC","South Carolina (State)"
"County","Dillon","SC","45033","=""45033""","79.4","2014-2018","2010","CDC","South Carolina (State)"
"County","Dorchester","SC","45035","=""45035""","65.1","2014-2018","2010","CDC","South Carolina (State)"
"County","Edgefield","SC","45037","=""45037""","50.4","2014-2018","2010","CDC","South Carolina (State)"
"County","Fairfield","SC","45039","=""45039""","68.4","2014-2018","2010","CDC","South Carolina (State)"
"County","Florence","SC","45041","=""45041""","66.1","2014-2018","2010","CDC","South Carolina (State)"
"County","Georgetown","SC","45043","=""45043""","58.9","2014-2018","2010","CDC","South Carolina (State)"
"County","Greenville","SC","45045","=""45045""","55.7","2014-2018","2010","CDC","South Carolina (State)"
"County","Greenwood","SC","45047","=""45047""","67.9","2014-2018","2010","CDC","South Carolina (State)"
"County","Hampton","SC","45049","=""45049""","60.4","2014-2018","2010","CDC","South Carolina (State)"
"County","Horry","SC","45051","=""45051""","66.5","2014-2018","2010","CDC","South Carolina (State)"
"County","Jasper","SC","45053","=""45053""","42.0","2014-2018","2010","CDC","South Carolina (State)"
"County","Kershaw","SC","45055","=""45055""","74.0","2014-2018","2010","CDC","South Carolina (State)"
"County","Lancaster","SC","45057","=""45057""","64.6","2014-2018","2010","CDC","South Carolina (State)"
"County","Laurens","SC","45059","=""45059""","81.3","2014-2018","2010","CDC","South Carolina (State)"
"County","Lee","SC","45061","=""45061""","78.1","2014-2018","2010","CDC","South Carolina (State)"
"County","Lexington","SC","45063","=""45063""","63.5","2014-2018","2010","CDC","South Carolina (State)"
"County","McCormick","SC","45065","=""45065""","64.9","2014-2018","2010","CDC","South Carolina (State)"
"County","Marion","SC","45067","=""45067""","68.3","2014-2018","2010","CDC","South Carolina (State)"
"County","Marlboro","SC","45069","=""45069""","86.0","2014-2018","2010","CDC","South Carolina (State)"
"County","Newberry","SC","45071","=""45071""","61.7","2014-2018","2010","CDC","South Carolina (State)"
"County","Oconee","SC","45073","=""45073""","66.7","2014-2018","2010","CDC","South Carolina (State)"
"County","Orangeburg","SC","45075","=""45075""","57.7","2014-2018","2010","CDC","South Carolina (State)"
"County","Pickens","SC","45077","=""45077""","65.9","2014-2018","2010","CDC","South Carolina (State)"
"County","Richland","SC","45079","=""45079""","56.2","2014-2018","2010","CDC","South Carolina (State)"
"County","Saluda","SC","45081","=""45081""","59.2","2014-2018","2010","CDC","South Carolina (State)"
"County","Spartanburg","SC","45083","=""45083""","70.1","2014-2018","2010","CDC","South Carolina (State)"
"County","Sumter","SC","45085","=""45085""","71.9","2014-2018","2010","CDC","South Carolina (State)"
"County","Union","SC","45087","=""45087""","83.6","2014-2018","2010","CDC","South Carolina (State)"
"County","Williamsburg","SC","45089","=""45089""","68.4","2014-2018","2010","CDC","South Carolina (State)"
"County","York","SC","45091","=""45091""","65.7","2014-2018","2010","CDC","South Carolina (State)"
