"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Lung/Bronchus Cancer Rate","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","r_l_allr_u_alla","TimeFrame","GeoVintage","Source","Location"
"County","Anderson","TN","47001","=""47001""","73.6","2014-2018","2010","CDC","Tennessee (State)"
"County","Bedford","TN","47003","=""47003""","78.1","2014-2018","2010","CDC","Tennessee (State)"
"County","Benton","TN","47005","=""47005""","102.9","2014-2018","2010","CDC","Tennessee (State)"
"County","Bledsoe","TN","47007","=""47007""","86.3","2014-2018","2010","CDC","Tennessee (State)"
"County","Blount","TN","47009","=""47009""","80.7","2014-2018","2010","CDC","Tennessee (State)"
"County","Bradley","TN","47011","=""47011""","73.3","2014-2018","2010","CDC","Tennessee (State)"
"County","Campbell","TN","47013","=""47013""","111.2","2014-2018","2010","CDC","Tennessee (State)"
"County","Cannon","TN","47015","=""47015""","62.2","2014-2018","2010","CDC","Tennessee (State)"
"County","Carroll","TN","47017","=""47017""","108.1","2014-2018","2010","CDC","Tennessee (State)"
"County","Carter","TN","47019","=""47019""","69.0","2014-2018","2010","CDC","Tennessee (State)"
"County","Cheatham","TN","47021","=""47021""","87.1","2014-2018","2010","CDC","Tennessee (State)"
"County","Chester","TN","47023","=""47023""","74.6","2014-2018","2010","CDC","Tennessee (State)"
"County","Claiborne","TN","47025","=""47025""","111.4","2014-2018","2010","CDC","Tennessee (State)"
"County","Clay","TN","47027","=""47027""","65.0","2014-2018","2010","CDC","Tennessee (State)"
"County","Cocke","TN","47029","=""47029""","89.0","2014-2018","2010","CDC","Tennessee (State)"
"County","Coffee","TN","47031","=""47031""","71.6","2014-2018","2010","CDC","Tennessee (State)"
"County","Crockett","TN","47033","=""47033""","88.7","2014-2018","2010","CDC","Tennessee (State)"
"County","Cumberland","TN","47035","=""47035""","68.1","2014-2018","2010","CDC","Tennessee (State)"
"County","Davidson","TN","47037","=""47037""","65.0","2014-2018","2010","CDC","Tennessee (State)"
"County","Decatur","TN","47039","=""47039""","99.4","2014-2018","2010","CDC","Tennessee (State)"
"County","DeKalb","TN","47041","=""47041""","80.7","2014-2018","2010","CDC","Tennessee (State)"
"County","Dickson","TN","47043","=""47043""","89.4","2014-2018","2010","CDC","Tennessee (State)"
"County","Dyer","TN","47045","=""47045""","90.5","2014-2018","2010","CDC","Tennessee (State)"
"County","Fayette","TN","47047","=""47047""","65.3","2014-2018","2010","CDC","Tennessee (State)"
"County","Fentress","TN","47049","=""47049""","95.4","2014-2018","2010","CDC","Tennessee (State)"
"County","Franklin","TN","47051","=""47051""","79.6","2014-2018","2010","CDC","Tennessee (State)"
"County","Gibson","TN","47053","=""47053""","82.8","2014-2018","2010","CDC","Tennessee (State)"
"County","Giles","TN","47055","=""47055""","76.3","2014-2018","2010","CDC","Tennessee (State)"
"County","Grainger","TN","47057","=""47057""","90.6","2014-2018","2010","CDC","Tennessee (State)"
"County","Greene","TN","47059","=""47059""","80.3","2014-2018","2010","CDC","Tennessee (State)"
"County","Grundy","TN","47061","=""47061""","82.7","2014-2018","2010","CDC","Tennessee (State)"
"County","Hamblen","TN","47063","=""47063""","81.5","2014-2018","2010","CDC","Tennessee (State)"
"County","Hamilton","TN","47065","=""47065""","69.3","2014-2018","2010","CDC","Tennessee (State)"
"County","Hancock","TN","47067","=""47067""","125.9","2014-2018","2010","CDC","Tennessee (State)"
"County","Hardeman","TN","47069","=""47069""","93.6","2014-2018","2010","CDC","Tennessee (State)"
"County","Hardin","TN","47071","=""47071""","81.7","2014-2018","2010","CDC","Tennessee (State)"
"County","Hawkins","TN","47073","=""47073""","101.2","2014-2018","2010","CDC","Tennessee (State)"
"County","Haywood","TN","47075","=""47075""","68.8","2014-2018","2010","CDC","Tennessee (State)"
"County","Henderson","TN","47077","=""47077""","82.2","2014-2018","2010","CDC","Tennessee (State)"
"County","Henry","TN","47079","=""47079""","75.7","2014-2018","2010","CDC","Tennessee (State)"
"County","Hickman","TN","47081","=""47081""","105.0","2014-2018","2010","CDC","Tennessee (State)"
"County","Houston","TN","47083","=""47083""","96.6","2014-2018","2010","CDC","Tennessee (State)"
"County","Humphreys","TN","47085","=""47085""","88.7","2014-2018","2010","CDC","Tennessee (State)"
"County","Jackson","TN","47087","=""47087""","97.7","2014-2018","2010","CDC","Tennessee (State)"
"County","Jefferson","TN","47089","=""47089""","77.9","2014-2018","2010","CDC","Tennessee (State)"
"County","Johnson","TN","47091","=""47091""","77.9","2014-2018","2010","CDC","Tennessee (State)"
"County","Knox","TN","47093","=""47093""","69.3","2014-2018","2010","CDC","Tennessee (State)"
"County","Lake","TN","47095","=""47095""","98.9","2014-2018","2010","CDC","Tennessee (State)"
"County","Lauderdale","TN","47097","=""47097""","91.7","2014-2018","2010","CDC","Tennessee (State)"
"County","Lawrence","TN","47099","=""47099""","87.5","2014-2018","2010","CDC","Tennessee (State)"
"County","Lewis","TN","47101","=""47101""","87.8","2014-2018","2010","CDC","Tennessee (State)"
"County","Lincoln","TN","47103","=""47103""","59.6","2014-2018","2010","CDC","Tennessee (State)"
"County","Loudon","TN","47105","=""47105""","74.1","2014-2018","2010","CDC","Tennessee (State)"
"County","McMinn","TN","47107","=""47107""","77.9","2014-2018","2010","CDC","Tennessee (State)"
"County","McNairy","TN","47109","=""47109""","95.8","2014-2018","2010","CDC","Tennessee (State)"
"County","Macon","TN","47111","=""47111""","93.2","2014-2018","2010","CDC","Tennessee (State)"
"County","Madison","TN","47113","=""47113""","72.6","2014-2018","2010","CDC","Tennessee (State)"
"County","Marion","TN","47115","=""47115""","90.9","2014-2018","2010","CDC","Tennessee (State)"
"County","Marshall","TN","47117","=""47117""","89.9","2014-2018","2010","CDC","Tennessee (State)"
"County","Maury","TN","47119","=""47119""","83.6","2014-2018","2010","CDC","Tennessee (State)"
"County","Meigs","TN","47121","=""47121""","103.9","2014-2018","2010","CDC","Tennessee (State)"
"County","Monroe","TN","47123","=""47123""","95.0","2014-2018","2010","CDC","Tennessee (State)"
"County","Montgomery","TN","47125","=""47125""","76.1","2014-2018","2010","CDC","Tennessee (State)"
"County","Moore","TN","47127","=""47127""","56.9","2014-2018","2010","CDC","Tennessee (State)"
"County","Morgan","TN","47129","=""47129""","86.4","2014-2018","2010","CDC","Tennessee (State)"
"County","Obion","TN","47131","=""47131""","87.5","2014-2018","2010","CDC","Tennessee (State)"
"County","Overton","TN","47133","=""47133""","104.1","2014-2018","2010","CDC","Tennessee (State)"
"County","Perry","TN","47135","=""47135""","110.0","2014-2018","2010","CDC","Tennessee (State)"
"County","Pickett","TN","47137","=""47137""","77.4","2014-2018","2010","CDC","Tennessee (State)"
"County","Polk","TN","47139","=""47139""","104.9","2014-2018","2010","CDC","Tennessee (State)"
"County","Putnam","TN","47141","=""47141""","75.1","2014-2018","2010","CDC","Tennessee (State)"
"County","Rhea","TN","47143","=""47143""","103.1","2014-2018","2010","CDC","Tennessee (State)"
"County","Roane","TN","47145","=""47145""","75.8","2014-2018","2010","CDC","Tennessee (State)"
"County","Robertson","TN","47147","=""47147""","86.3","2014-2018","2010","CDC","Tennessee (State)"
"County","Rutherford","TN","47149","=""47149""","72.6","2014-2018","2010","CDC","Tennessee (State)"
"County","Scott","TN","47151","=""47151""","102.0","2014-2018","2010","CDC","Tennessee (State)"
"County","Sequatchie","TN","47153","=""47153""","79.7","2014-2018","2010","CDC","Tennessee (State)"
"County","Sevier","TN","47155","=""47155""","80.1","2014-2018","2010","CDC","Tennessee (State)"
"County","Shelby","TN","47157","=""47157""","59.3","2014-2018","2010","CDC","Tennessee (State)"
"County","Smith","TN","47159","=""47159""","75.4","2014-2018","2010","CDC","Tennessee (State)"
"County","Stewart","TN","47161","=""47161""","83.7","2014-2018","2010","CDC","Tennessee (State)"
"County","Sullivan","TN","47163","=""47163""","78.3","2014-2018","2010","CDC","Tennessee (State)"
"County","Sumner","TN","47165","=""47165""","70.5","2014-2018","2010","CDC","Tennessee (State)"
"County","Tipton","TN","47167","=""47167""","81.3","2014-2018","2010","CDC","Tennessee (State)"
"County","Trousdale","TN","47169","=""47169""","119.8","2014-2018","2010","CDC","Tennessee (State)"
"County","Unicoi","TN","47171","=""47171""","65.3","2014-2018","2010","CDC","Tennessee (State)"
"County","Union","TN","47173","=""47173""","115.5","2014-2018","2010","CDC","Tennessee (State)"
"County","Van Buren","TN","47175","=""47175""","83.6","2014-2018","2010","CDC","Tennessee (State)"
"County","Warren","TN","47177","=""47177""","78.8","2014-2018","2010","CDC","Tennessee (State)"
"County","Washington","TN","47179","=""47179""","71.3","2014-2018","2010","CDC","Tennessee (State)"
"County","Wayne","TN","47181","=""47181""","89.9","2014-2018","2010","CDC","Tennessee (State)"
"County","Weakley","TN","47183","=""47183""","79.1","2014-2018","2010","CDC","Tennessee (State)"
"County","White","TN","47185","=""47185""","78.9","2014-2018","2010","CDC","Tennessee (State)"
"County","Williamson","TN","47187","=""47187""","40.5","2014-2018","2010","CDC","Tennessee (State)"
"County","Wilson","TN","47189","=""47189""","66.9","2014-2018","2010","CDC","Tennessee (State)"
