"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Lung/Bronchus Cancer Rate","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","r_l_allr_u_alla","TimeFrame","GeoVintage","Source","Location"
"County","Barbour","WV","54001","=""54001""","65.4","2014-2018","2010","CDC","West Virginia (State)"
"County","Berkeley","WV","54003","=""54003""","79.0","2014-2018","2010","CDC","West Virginia (State)"
"County","Boone","WV","54005","=""54005""","104.9","2014-2018","2010","CDC","West Virginia (State)"
"County","Braxton","WV","54007","=""54007""","61.1","2014-2018","2010","CDC","West Virginia (State)"
"County","Brooke","WV","54009","=""54009""","81.5","2014-2018","2010","CDC","West Virginia (State)"
"County","Cabell","WV","54011","=""54011""","82.0","2014-2018","2010","CDC","West Virginia (State)"
"County","Calhoun","WV","54013","=""54013""","42.6","2014-2018","2010","CDC","West Virginia (State)"
"County","Clay","WV","54015","=""54015""","103.9","2014-2018","2010","CDC","West Virginia (State)"
"County","Doddridge","WV","54017","=""54017""","73.6","2014-2018","2010","CDC","West Virginia (State)"
"County","Fayette","WV","54019","=""54019""","98.6","2014-2018","2010","CDC","West Virginia (State)"
"County","Gilmer","WV","54021","=""54021""","86.0","2014-2018","2010","CDC","West Virginia (State)"
"County","Grant","WV","54023","=""54023""","48.8","2014-2018","2010","CDC","West Virginia (State)"
"County","Greenbrier","WV","54025","=""54025""","85.4","2014-2018","2010","CDC","West Virginia (State)"
"County","Hampshire","WV","54027","=""54027""","81.2","2014-2018","2010","CDC","West Virginia (State)"
"County","Hancock","WV","54029","=""54029""","71.2","2014-2018","2010","CDC","West Virginia (State)"
"County","Hardy","WV","54031","=""54031""","52.3","2014-2018","2010","CDC","West Virginia (State)"
"County","Harrison","WV","54033","=""54033""","86.1","2014-2018","2010","CDC","West Virginia (State)"
"County","Jackson","WV","54035","=""54035""","75.1","2014-2018","2010","CDC","West Virginia (State)"
"County","Jefferson","WV","54037","=""54037""","67.8","2014-2018","2010","CDC","West Virginia (State)"
"County","Kanawha","WV","54039","=""54039""","73.4","2014-2018","2010","CDC","West Virginia (State)"
"County","Lewis","WV","54041","=""54041""","94.3","2014-2018","2010","CDC","West Virginia (State)"
"County","Lincoln","WV","54043","=""54043""","104.3","2014-2018","2010","CDC","West Virginia (State)"
"County","Logan","WV","54045","=""54045""","111.9","2014-2018","2010","CDC","West Virginia (State)"
"County","McDowell","WV","54047","=""54047""","105.6","2014-2018","2010","CDC","West Virginia (State)"
"County","Marion","WV","54049","=""54049""","86.6","2014-2018","2010","CDC","West Virginia (State)"
"County","Marshall","WV","54051","=""54051""","67.4","2014-2018","2010","CDC","West Virginia (State)"
"County","Mason","WV","54053","=""54053""","82.1","2014-2018","2010","CDC","West Virginia (State)"
"County","Mercer","WV","54055","=""54055""","82.8","2014-2018","2010","CDC","West Virginia (State)"
"County","Mineral","WV","54057","=""54057""","61.5","2014-2018","2010","CDC","West Virginia (State)"
"County","Mingo","WV","54059","=""54059""","116.9","2014-2018","2010","CDC","West Virginia (State)"
"County","Monongalia","WV","54061","=""54061""","56.7","2014-2018","2010","CDC","West Virginia (State)"
"County","Monroe","WV","54063","=""54063""","61.9","2014-2018","2010","CDC","West Virginia (State)"
"County","Morgan","WV","54065","=""54065""","87.2","2014-2018","2010","CDC","West Virginia (State)"
"County","Nicholas","WV","54067","=""54067""","70.5","2014-2018","2010","CDC","West Virginia (State)"
"County","Ohio","WV","54069","=""54069""","69.4","2014-2018","2010","CDC","West Virginia (State)"
"County","Pendleton","WV","54071","=""54071""","44.4","2014-2018","2010","CDC","West Virginia (State)"
"County","Pleasants","WV","54073","=""54073""","98.3","2014-2018","2010","CDC","West Virginia (State)"
"County","Pocahontas","WV","54075","=""54075""","73.4","2014-2018","2010","CDC","West Virginia (State)"
"County","Preston","WV","54077","=""54077""","60.2","2014-2018","2010","CDC","West Virginia (State)"
"County","Putnam","WV","54079","=""54079""","82.2","2014-2018","2010","CDC","West Virginia (State)"
"County","Raleigh","WV","54081","=""54081""","78.6","2014-2018","2010","CDC","West Virginia (State)"
"County","Randolph","WV","54083","=""54083""","72.7","2014-2018","2010","CDC","West Virginia (State)"
"County","Ritchie","WV","54085","=""54085""","74.0","2014-2018","2010","CDC","West Virginia (State)"
"County","Roane","WV","54087","=""54087""","104.0","2014-2018","2010","CDC","West Virginia (State)"
"County","Summers","WV","54089","=""54089""","62.9","2014-2018","2010","CDC","West Virginia (State)"
"County","Taylor","WV","54091","=""54091""","73.3","2014-2018","2010","CDC","West Virginia (State)"
"County","Tucker","WV","54093","=""54093""","73.6","2014-2018","2010","CDC","West Virginia (State)"
"County","Tyler","WV","54095","=""54095""","67.6","2014-2018","2010","CDC","West Virginia (State)"
"County","Upshur","WV","54097","=""54097""","81.3","2014-2018","2010","CDC","West Virginia (State)"
"County","Wayne","WV","54099","=""54099""","95.0","2014-2018","2010","CDC","West Virginia (State)"
"County","Webster","WV","54101","=""54101""","77.7","2014-2018","2010","CDC","West Virginia (State)"
"County","Wetzel","WV","54103","=""54103""","74.6","2014-2018","2010","CDC","West Virginia (State)"
"County","Wirt","WV","54105","=""54105""","87.8","2014-2018","2010","CDC","West Virginia (State)"
"County","Wood","WV","54107","=""54107""","80.8","2014-2018","2010","CDC","West Virginia (State)"
"County","Wyoming","WV","54109","=""54109""","99.0","2014-2018","2010","CDC","West Virginia (State)"
