"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Lung/Bronchus Cancer Rate","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","r_l_allr_u_alla","TimeFrame","GeoVintage","Source","Location"
"County","Adair","KY","21001","=""21001""","91.8","2014-2018","2010","CDC","Kentucky (State)"
"County","Allen","KY","21003","=""21003""","81.4","2014-2018","2010","CDC","Kentucky (State)"
"County","Anderson","KY","21005","=""21005""","88.9","2014-2018","2010","CDC","Kentucky (State)"
"County","Ballard","KY","21007","=""21007""","87.5","2014-2018","2010","CDC","Kentucky (State)"
"County","Barren","KY","21009","=""21009""","108.1","2014-2018","2010","CDC","Kentucky (State)"
"County","Bath","KY","21011","=""21011""","119.3","2014-2018","2010","CDC","Kentucky (State)"
"County","Bell","KY","21013","=""21013""","104.1","2014-2018","2010","CDC","Kentucky (State)"
"County","Boone","KY","21015","=""21015""","72.5","2014-2018","2010","CDC","Kentucky (State)"
"County","Bourbon","KY","21017","=""21017""","97.6","2014-2018","2010","CDC","Kentucky (State)"
"County","Boyd","KY","21019","=""21019""","92.1","2014-2018","2010","CDC","Kentucky (State)"
"County","Boyle","KY","21021","=""21021""","59.8","2014-2018","2010","CDC","Kentucky (State)"
"County","Bracken","KY","21023","=""21023""","100.3","2014-2018","2010","CDC","Kentucky (State)"
"County","Breathitt","KY","21025","=""21025""","143.9","2014-2018","2010","CDC","Kentucky (State)"
"County","Breckinridge","KY","21027","=""21027""","104.0","2014-2018","2010","CDC","Kentucky (State)"
"County","Bullitt","KY","21029","=""21029""","97.6","2014-2018","2010","CDC","Kentucky (State)"
"County","Butler","KY","21031","=""21031""","105.0","2014-2018","2010","CDC","Kentucky (State)"
"County","Caldwell","KY","21033","=""21033""","83.8","2014-2018","2010","CDC","Kentucky (State)"
"County","Calloway","KY","21035","=""21035""","78.7","2014-2018","2010","CDC","Kentucky (State)"
"County","Campbell","KY","21037","=""21037""","91.3","2014-2018","2010","CDC","Kentucky (State)"
"County","Carlisle","KY","21039","=""21039""","99.0","2014-2018","2010","CDC","Kentucky (State)"
"County","Carroll","KY","21041","=""21041""","137.0","2014-2018","2010","CDC","Kentucky (State)"
"County","Carter","KY","21043","=""21043""","97.9","2014-2018","2010","CDC","Kentucky (State)"
"County","Casey","KY","21045","=""21045""","98.0","2014-2018","2010","CDC","Kentucky (State)"
"County","Christian","KY","21047","=""21047""","78.3","2014-2018","2010","CDC","Kentucky (State)"
"County","Clark","KY","21049","=""21049""","86.3","2014-2018","2010","CDC","Kentucky (State)"
"County","Clay","KY","21051","=""21051""","122.6","2014-2018","2010","CDC","Kentucky (State)"
"County","Clinton","KY","21053","=""21053""","99.3","2014-2018","2010","CDC","Kentucky (State)"
"County","Crittenden","KY","21055","=""21055""","110.7","2014-2018","2010","CDC","Kentucky (State)"
"County","Cumberland","KY","21057","=""21057""","104.7","2014-2018","2010","CDC","Kentucky (State)"
"County","Daviess","KY","21059","=""21059""","90.4","2014-2018","2010","CDC","Kentucky (State)"
"County","Edmonson","KY","21061","=""21061""","121.1","2014-2018","2010","CDC","Kentucky (State)"
"County","Elliott","KY","21063","=""21063""","82.1","2014-2018","2010","CDC","Kentucky (State)"
"County","Estill","KY","21065","=""21065""","108.4","2014-2018","2010","CDC","Kentucky (State)"
"County","Fayette","KY","21067","=""21067""","66.2","2014-2018","2010","CDC","Kentucky (State)"
"County","Fleming","KY","21069","=""21069""","100.0","2014-2018","2010","CDC","Kentucky (State)"
"County","Floyd","KY","21071","=""21071""","129.8","2014-2018","2010","CDC","Kentucky (State)"
"County","Franklin","KY","21073","=""21073""","81.6","2014-2018","2010","CDC","Kentucky (State)"
"County","Fulton","KY","21075","=""21075""","71.6","2014-2018","2010","CDC","Kentucky (State)"
"County","Gallatin","KY","21077","=""21077""","118.9","2014-2018","2010","CDC","Kentucky (State)"
"County","Garrard","KY","21079","=""21079""","91.0","2014-2018","2010","CDC","Kentucky (State)"
"County","Grant","KY","21081","=""21081""","98.1","2014-2018","2010","CDC","Kentucky (State)"
"County","Graves","KY","21083","=""21083""","73.8","2014-2018","2010","CDC","Kentucky (State)"
"County","Grayson","KY","21085","=""21085""","96.4","2014-2018","2010","CDC","Kentucky (State)"
"County","Green","KY","21087","=""21087""","90.1","2014-2018","2010","CDC","Kentucky (State)"
"County","Greenup","KY","21089","=""21089""","94.3","2014-2018","2010","CDC","Kentucky (State)"
"County","Hancock","KY","21091","=""21091""","70.4","2014-2018","2010","CDC","Kentucky (State)"
"County","Hardin","KY","21093","=""21093""","87.6","2014-2018","2010","CDC","Kentucky (State)"
"County","Harlan","KY","21095","=""21095""","119.2","2014-2018","2010","CDC","Kentucky (State)"
"County","Harrison","KY","21097","=""21097""","114.6","2014-2018","2010","CDC","Kentucky (State)"
"County","Hart","KY","21099","=""21099""","121.5","2014-2018","2010","CDC","Kentucky (State)"
"County","Henderson","KY","21101","=""21101""","81.2","2014-2018","2010","CDC","Kentucky (State)"
"County","Henry","KY","21103","=""21103""","86.6","2014-2018","2010","CDC","Kentucky (State)"
"County","Hickman","KY","21105","=""21105""","79.5","2014-2018","2010","CDC","Kentucky (State)"
"County","Hopkins","KY","21107","=""21107""","85.7","2014-2018","2010","CDC","Kentucky (State)"
"County","Jackson","KY","21109","=""21109""","112.3","2014-2018","2010","CDC","Kentucky (State)"
"County","Jefferson","KY","21111","=""21111""","79.1","2014-2018","2010","CDC","Kentucky (State)"
"County","Jessamine","KY","21113","=""21113""","87.8","2014-2018","2010","CDC","Kentucky (State)"
"County","Johnson","KY","21115","=""21115""","110.9","2014-2018","2010","CDC","Kentucky (State)"
"County","Kenton","KY","21117","=""21117""","81.7","2014-2018","2010","CDC","Kentucky (State)"
"County","Knott","KY","21119","=""21119""","107.8","2014-2018","2010","CDC","Kentucky (State)"
"County","Knox","KY","21121","=""21121""","131.7","2014-2018","2010","CDC","Kentucky (State)"
"County","Larue","KY","21123","=""21123""","90.5","2014-2018","2010","CDC","Kentucky (State)"
"County","Laurel","KY","21125","=""21125""","102.9","2014-2018","2010","CDC","Kentucky (State)"
"County","Lawrence","KY","21127","=""21127""","110.8","2014-2018","2010","CDC","Kentucky (State)"
"County","Lee","KY","21129","=""21129""","86.4","2014-2018","2010","CDC","Kentucky (State)"
"County","Leslie","KY","21131","=""21131""","118.8","2014-2018","2010","CDC","Kentucky (State)"
"County","Letcher","KY","21133","=""21133""","103.7","2014-2018","2010","CDC","Kentucky (State)"
"County","Lewis","KY","21135","=""21135""","116.1","2014-2018","2010","CDC","Kentucky (State)"
"County","Lincoln","KY","21137","=""21137""","104.7","2014-2018","2010","CDC","Kentucky (State)"
"County","Livingston","KY","21139","=""21139""","102.8","2014-2018","2010","CDC","Kentucky (State)"
"County","Logan","KY","21141","=""21141""","97.7","2014-2018","2010","CDC","Kentucky (State)"
"County","Lyon","KY","21143","=""21143""","74.2","2014-2018","2010","CDC","Kentucky (State)"
"County","McCracken","KY","21145","=""21145""","76.1","2014-2018","2010","CDC","Kentucky (State)"
"County","McCreary","KY","21147","=""21147""","112.1","2014-2018","2010","CDC","Kentucky (State)"
"County","McLean","KY","21149","=""21149""","107.7","2014-2018","2010","CDC","Kentucky (State)"
"County","Madison","KY","21151","=""21151""","86.5","2014-2018","2010","CDC","Kentucky (State)"
"County","Magoffin","KY","21153","=""21153""","80.9","2014-2018","2010","CDC","Kentucky (State)"
"County","Marion","KY","21155","=""21155""","90.7","2014-2018","2010","CDC","Kentucky (State)"
"County","Marshall","KY","21157","=""21157""","85.7","2014-2018","2010","CDC","Kentucky (State)"
