"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Lung/Bronchus Cancer Rate","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","r_l_allr_u_alla","TimeFrame","GeoVintage","Source","Location"
"County","Accomack","VA","51001","=""51001""","67.3","2014-2018","2010","CDC","Virginia (State)"
"County","Albemarle","VA","51003","=""51003""","43.3","2014-2018","2010","CDC","Virginia (State)"
"County","Alleghany","VA","51005","=""51005""","62.7","2014-2018","2010","CDC","Virginia (State)"
"County","Amelia","VA","51007","=""51007""","81.0","2014-2018","2010","CDC","Virginia (State)"
"County","Amherst","VA","51009","=""51009""","65.1","2014-2018","2010","CDC","Virginia (State)"
"County","Appomattox","VA","51011","=""51011""","65.5","2014-2018","2010","CDC","Virginia (State)"
"County","Arlington","VA","51013","=""51013""","34.3","2014-2018","2010","CDC","Virginia (State)"
"County","Augusta","VA","51015","=""51015""","50.4","2014-2018","2010","CDC","Virginia (State)"
"County","Bath","VA","51017","=""51017""","85.9","2014-2018","2010","CDC","Virginia (State)"
"County","Bedford","VA","51019","=""51019""","N/A","2014-2018","2010","CDC","Virginia (State)"
"County","Bland","VA","51021","=""51021""","46.9","2014-2018","2010","CDC","Virginia (State)"
"County","Botetourt","VA","51023","=""51023""","57.9","2014-2018","2010","CDC","Virginia (State)"
"County","Brunswick","VA","51025","=""51025""","62.4","2014-2018","2010","CDC","Virginia (State)"
"County","Buchanan","VA","51027","=""51027""","42.6","2014-2018","2010","CDC","Virginia (State)"
"County","Buckingham","VA","51029","=""51029""","65.3","2014-2018","2010","CDC","Virginia (State)"
"County","Campbell","VA","51031","=""51031""","62.6","2014-2018","2010","CDC","Virginia (State)"
"County","Caroline","VA","51033","=""51033""","66.0","2014-2018","2010","CDC","Virginia (State)"
"County","Carroll","VA","51035","=""51035""","54.3","2014-2018","2010","CDC","Virginia (State)"
"County","Charles City","VA","51036","=""51036""","56.2","2014-2018","2010","CDC","Virginia (State)"
"County","Charlotte","VA","51037","=""51037""","78.6","2014-2018","2010","CDC","Virginia (State)"
"County","Chesterfield","VA","51041","=""51041""","56.3","2014-2018","2010","CDC","Virginia (State)"
"County","Clarke","VA","51043","=""51043""","46.4","2014-2018","2010","CDC","Virginia (State)"
"County","Craig","VA","51045","=""51045""","60.2","2014-2018","2010","CDC","Virginia (State)"
"County","Culpeper","VA","51047","=""51047""","53.6","2014-2018","2010","CDC","Virginia (State)"
"County","Cumberland","VA","51049","=""51049""","60.7","2014-2018","2010","CDC","Virginia (State)"
"County","Dickenson","VA","51051","=""51051""","57.9","2014-2018","2010","CDC","Virginia (State)"
"County","Dinwiddie","VA","51053","=""51053""","85.9","2014-2018","2010","CDC","Virginia (State)"
"County","Essex","VA","51057","=""51057""","68.0","2014-2018","2010","CDC","Virginia (State)"
"County","Fairfax","VA","51059","=""51059""","30.9","2014-2018","2010","CDC","Virginia (State)"
"County","Fauquier","VA","51061","=""51061""","54.1","2014-2018","2010","CDC","Virginia (State)"
"County","Floyd","VA","51063","=""51063""","44.8","2014-2018","2010","CDC","Virginia (State)"
"County","Fluvanna","VA","51065","=""51065""","50.2","2014-2018","2010","CDC","Virginia (State)"
"County","Franklin","VA","51067","=""51067""","56.1","2014-2018","2010","CDC","Virginia (State)"
"County","Frederick","VA","51069","=""51069""","58.4","2014-2018","2010","CDC","Virginia (State)"
"County","Giles","VA","51071","=""51071""","86.9","2014-2018","2010","CDC","Virginia (State)"
"County","Gloucester","VA","51073","=""51073""","75.8","2014-2018","2010","CDC","Virginia (State)"
"County","Goochland","VA","51075","=""51075""","61.3","2014-2018","2010","CDC","Virginia (State)"
"County","Grayson","VA","51077","=""51077""","55.7","2014-2018","2010","CDC","Virginia (State)"
"County","Greene","VA","51079","=""51079""","65.7","2014-2018","2010","CDC","Virginia (State)"
"County","Greensville","VA","51081","=""51081""","85.2","2014-2018","2010","CDC","Virginia (State)"
"County","Halifax","VA","51083","=""51083""","66.7","2014-2018","2010","CDC","Virginia (State)"
"County","Hanover","VA","51085","=""51085""","58.9","2014-2018","2010","CDC","Virginia (State)"
"County","Henrico","VA","51087","=""51087""","56.9","2014-2018","2010","CDC","Virginia (State)"
"County","Henry","VA","51089","=""51089""","55.0","2014-2018","2010","CDC","Virginia (State)"
"County","Highland","VA","51091","=""51091""","58.8","2014-2018","2010","CDC","Virginia (State)"
"County","Isle of Wight","VA","51093","=""51093""","48.2","2014-2018","2010","CDC","Virginia (State)"
"County","James City","VA","51095","=""51095""","41.9","2014-2018","2010","CDC","Virginia (State)"
"County","King and Queen","VA","51097","=""51097""","73.4","2014-2018","2010","CDC","Virginia (State)"
"County","King George","VA","51099","=""51099""","71.8","2014-2018","2010","CDC","Virginia (State)"
