usa_lung_cancer
County,State,GeoID,lung_cancer_per_100000,TimeFrame
Autauga,AL,1001,64.7,2014-2018
Baldwin,AL,1003,66.6,2014-2018
Barbour,AL,1005,62.5,2014-2018
Bibb,AL,1007,85.3,2014-2018
Blount,AL,1009,72.3,2014-2018
Bullock,AL,1011,77.1,2014-2018
Butler,AL,1013,55.5,2014-2018
Calhoun,AL,1015,75.9,2014-2018
Chambers,AL,1017,68.8,2014-2018
Cherokee,AL,1019,65.1,2014-2018
Chilton,AL,1021,61.3,2014-2018
Choctaw,AL,1023,47.5,2014-2018
Clarke,AL,1025,53.7,2014-2018
Clay,AL,1027,100.4,2014-2018
Cleburne,AL,1029,73.8,2014-2018
Coffee,AL,1031,68.5,2014-2018
Colbert,AL,1033,70.0,2014-2018
Conecuh,AL,1035,77.9,2014-2018
Coosa,AL,1037,55.9,2014-2018
Covington,AL,1039,73.6,2014-2018
Crenshaw,AL,1041,83.6,2014-2018
Cullman,AL,1043,71.9,2014-2018
Dale,AL,1045,73.6,2014-2018
Dallas,AL,1047,61.8,2014-2018
DeKalb,AL,1049,60.0,2014-2018
Elmore,AL,1051,69.6,2014-2018
Escambia,AL,1053,71.4,2014-2018
Etowah,AL,1055,69.0,2014-2018
Fayette,AL,1057,62.5,2014-2018
Franklin,AL,1059,67.8,2014-2018
Geneva,AL,1061,75.8,2014-2018
Greene,AL,1063,57.8,2014-2018
Hale,AL,1065,43.3,2014-2018
Henry,AL,1067,73.7,2014-2018
Houston,AL,1069,58.3,2014-2018
Jackson,AL,1071,75.6,2014-2018
Jefferson,AL,1073,58.7,2014-2018
Lamar,AL,1075,89.9,2014-2018
Lauderdale,AL,1077,61.2,2014-2018
Lawrence,AL,1079,78.4,2014-2018
Lee,AL,1081,48.3,2014-2018
Limestone,AL,1083,60.0,2014-2018
Lowndes,AL,1085,82.4,2014-2018
Macon,AL,1087,65.7,2014-2018
Madison,AL,1089,56.2,2014-2018
Marengo,AL,1091,56.7,2014-2018
Marion,AL,1093,65.8,2014-2018
Marshall,AL,1095,74.6,2014-2018
Mobile,AL,1097,63.6,2014-2018
Monroe,AL,1099,51.6,2014-2018
Montgomery,AL,1101,54.1,2014-2018
Morgan,AL,1103,67.7,2014-2018
Perry,AL,1105,38.6,2014-2018
Pickens,AL,1107,70.6,2014-2018
Pike,AL,1109,63.5,2014-2018
Randolph,AL,1111,58.8,2014-2018
Russell,AL,1113,71.7,2014-2018
St. Clair,AL,1115,76.2,2014-2018
Shelby,AL,1117,47.1,2014-2018
Sumter,AL,1119,72.9,2014-2018
Talladega,AL,1121,72.1,2014-2018
Tallapoosa,AL,1123,73.0,2014-2018
