"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Lung/Bronchus Cancer Rate","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","r_l_allr_u_alla","TimeFrame","GeoVintage","Source","Location"
"County","Beaverhead","MT","30001","=""30001""","46.1","2014-2018","2010","CDC","Montana (State)"
"County","Big Horn","MT","30003","=""30003""","54.1","2014-2018","2010","CDC","Montana (State)"
"County","Blaine","MT","30005","=""30005""","44.2","2014-2018","2010","CDC","Montana (State)"
"County","Broadwater","MT","30007","=""30007""","66.6","2014-2018","2010","CDC","Montana (State)"
"County","Carbon","MT","30009","=""30009""","31.2","2014-2018","2010","CDC","Montana (State)"
"County","Carter","MT","30011","=""30011""","N/A","2014-2018","2010","CDC","Montana (State)"
"County","Cascade","MT","30013","=""30013""","59.4","2014-2018","2010","CDC","Montana (State)"
"County","Chouteau","MT","30015","=""30015""","41.3","2014-2018","2010","CDC","Montana (State)"
"County","Custer","MT","30017","=""30017""","62.4","2014-2018","2010","CDC","Montana (State)"
"County","Daniels","MT","30019","=""30019""","N/A","2014-2018","2010","CDC","Montana (State)"
"County","Dawson","MT","30021","=""30021""","60.2","2014-2018","2010","CDC","Montana (State)"
"County","Deer Lodge","MT","30023","=""30023""","65.1","2014-2018","2010","CDC","Montana (State)"
"County","Fallon","MT","30025","=""30025""","N/A","2014-2018","2010","CDC","Montana (State)"
"County","Fergus","MT","30027","=""30027""","40.1","2014-2018","2010","CDC","Montana (State)"
"County","Flathead","MT","30029","=""30029""","57.1","2014-2018","2010","CDC","Montana (State)"
"County","Gallatin","MT","30031","=""30031""","29.8","2014-2018","2010","CDC","Montana (State)"
"County","Garfield","MT","30033","=""30033""","N/A","2014-2018","2010","CDC","Montana (State)"
"County","Glacier","MT","30035","=""30035""","49.5","2014-2018","2010","CDC","Montana (State)"
"County","Golden Valley","MT","30037","=""30037""","N/A","2014-2018","2010","CDC","Montana (State)"
"County","Granite","MT","30039","=""30039""","N/A","2014-2018","2010","CDC","Montana (State)"
"County","Hill","MT","30041","=""30041""","62.9","2014-2018","2010","CDC","Montana (State)"
"County","Jefferson","MT","30043","=""30043""","43.4","2014-2018","2010","CDC","Montana (State)"
"County","Judith Basin","MT","30045","=""30045""","N/A","2014-2018","2010","CDC","Montana (State)"
"County","Lake","MT","30047","=""30047""","56.9","2014-2018","2010","CDC","Montana (State)"
"County","Lewis and Clark","MT","30049","=""30049""","50.3","2014-2018","2010","CDC","Montana (State)"
"County","Liberty","MT","30051","=""30051""","N/A","2014-2018","2010","CDC","Montana (State)"
"County","Lincoln","MT","30053","=""30053""","77.1","2014-2018","2010","CDC","Montana (State)"
"County","McCone","MT","30055","=""30055""","N/A","2014-2018","2010","CDC","Montana (State)"
"County","Madison","MT","30057","=""30057""","39.5","2014-2018","2010","CDC","Montana (State)"
"County","Meagher","MT","30059","=""30059""","N/A","2014-2018","2010","CDC","Montana (State)"
"County","Mineral","MT","30061","=""30061""","45.9","2014-2018","2010","CDC","Montana (State)"
"County","Missoula","MT","30063","=""30063""","44.9","2014-2018","2010","CDC","Montana (State)"
"County","Musselshell","MT","30065","=""30065""","59.2","2014-2018","2010","CDC","Montana (State)"
"County","Park","MT","30067","=""30067""","42.3","2014-2018","2010","CDC","Montana (State)"
"County","Petroleum","MT","30069","=""30069""","N/A","2014-2018","2010","CDC","Montana (State)"
"County","Phillips","MT","30071","=""30071""","45.0","2014-2018","2010","CDC","Montana (State)"
"County","Pondera","MT","30073","=""30073""","70.3","2014-2018","2010","CDC","Montana (State)"
"County","Powder River","MT","30075","=""30075""","N/A","2014-2018","2010","CDC","Montana (State)"
"County","Powell","MT","30077","=""30077""","75.7","2014-2018","2010","CDC","Montana (State)"
"County","Prairie","MT","30079","=""30079""","N/A","2014-2018","2010","CDC","Montana (State)"
"County","Ravalli","MT","30081","=""30081""","40.7","2014-2018","2010","CDC","Montana (State)"
"County","Richland","MT","30083","=""30083""","63.0","2014-2018","2010","CDC","Montana (State)"
"County","Roosevelt","MT","30085","=""30085""","56.4","2014-2018","2010","CDC","Montana (State)"
"County","Rosebud","MT","30087","=""30087""","53.0","2014-2018","2010","CDC","Montana (State)"
"County","Sanders","MT","30089","=""30089""","54.3","2014-2018","2010","CDC","Montana (State)"
"County","Sheridan","MT","30091","=""30091""","54.0","2014-2018","2010","CDC","Montana (State)"
"County","Silver Bow","MT","30093","=""30093""","53.9","2014-2018","2010","CDC","Montana (State)"
"County","Stillwater","MT","30095","=""30095""","36.8","2014-2018","2010","CDC","Montana (State)"
"County","Sweet Grass","MT","30097","=""30097""","N/A","2014-2018","2010","CDC","Montana (State)"
"County","Teton","MT","30099","=""30099""","52.8","2014-2018","2010","CDC","Montana (State)"
"County","Toole","MT","30101","=""30101""","48.7","2014-2018","2010","CDC","Montana (State)"
"County","Treasure","MT","30103","=""30103""","N/A","2014-2018","2010","CDC","Montana (State)"
"County","Valley","MT","30105","=""30105""","43.7","2014-2018","2010","CDC","Montana (State)"
"County","Wheatland","MT","30107","=""30107""","N/A","2014-2018","2010","CDC","Montana (State)"
"County","Wibaux","MT","30109","=""30109""","N/A","2014-2018","2010","CDC","Montana (State)"
"County","Yellowstone","MT","30111","=""30111""","57.4","2014-2018","2010","CDC","Montana (State)"
