usa_state_level_lung_cancer
State,lung_cancer_per_100000
Alabama,63.7
Alaska,55.1
Arizona,45.1
Arkansas,76.5
California,40.3
Colorado,40.4
Connecticut,57.7
Delaware,64.7
District of Columbia,44.9
Florida,56.9
Georgia,61.3
Hawaii,44.1
Idaho,49.1
Illinois,63.0
Indiana,69.9
Iowa,62.6
Kansas,55.5
Kentucky,88.8
Louisiana,64.6
Maine,71.3
Maryland,55.1
Massachusetts,60.5
Michigan,62.9
Minnesota,55.3
Mississippi,74.0
Missouri,70.7
Montana,51.2
Nebraska,55.9
Nevada,N/A
New Hampshire,62.5
New Jersey,54.5
New Mexico,37.1
New York,58.0
North Carolina,66.3
North Dakota,58.0
Ohio,67.3
Oklahoma,66.7
Oregon,52.6
Pennsylvania,62.6
Rhode Island,68.8
South Carolina,62.8
South Dakota,57.5
Tennessee,74.0
Texas,49.5
Utah,26.1
Vermont,60.4
Virginia,54.8
Washington,52.7
West Virginia,79.0
Wisconsin,58.8
Wyoming,42.0
