fips,location,county,state,mortality_resp,perc_mortality_change_resp,mortality_ast,perc_mortality_change_ast,mortality_lung,perc_mortality_change_lung,year,days_with_aqi,good_days,moderate_days,unhealthy_for_sensitive_groups_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,x90th_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm2_5,days_pm10,lat,long,distance_to_nearest_plant,name_of_nearest_plant,name,is_plant
10001,"Kent County, Delaware",Kent,Delaware,62,46.96,1.38,-19.07,6.3,154.1,2014,364,295,68,1,0,0,0,108,59,42,0,0,225,139,0,39.086,-75.5686,62752.23090467375,Indian River power station,NA,0
10003,"New Castle County, Delaware",New Castle,Delaware,49.3,31.89,1.12,-24.18,5.94,163.55,2014,365,205,149,10,1,0,0,152,78,49,0,7,186,172,0,39.5768,-75.6527,87357.92448577312,Herbert Wagner Generating Station,NA,0
10005,"Sussex County, Delaware",Sussex,Delaware,50.2,14.04,0.92,-44.22,5.76,109.32,2014,365,261,103,1,0,0,0,105,64,43,0,0,244,121,0,38.6606,-75.39,16001.127622584328,Indian River power station,NA,0
1001,"Autauga County, Alabama",Autauga,Alabama,81.7,75.67,1.07,-29.51,5.72,108.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.5349,-86.6427,80408.18879791883,Gaston Steam Plant,NA,0
1003,"Baldwin County, Alabama",Baldwin,Alabama,54.2,46.1,0.94,-40.13,6.34,126.92,2014,280,232,46,2,0,0,0,112,59,38,0,0,205,75,0,30.7276,-87.7226,41296.383940089334,Barry Steam Plant,NA,0
1005,"Barbour County, Alabama",Barbour,Alabama,69.8,62.98,1.63,-35.42,6.47,90.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.8696,-85.3932,174419.9909648493,Wansley Plant,NA,0
1007,"Bibb County, Alabama",Bibb,Alabama,84.4,83.11,1.31,-26.15,5.55,115.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.9986,-87.1265,67948.94235121518,Gaston Steam Plant,NA,0
1009,"Blount County, Alabama",Blount,Alabama,87,99.3,1.09,-29.20,5.26,126.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9809,-86.5674,59718.53965702719,Miller Steam Plant,NA,0
1011,"Bullock County, Alabama",Bullock,Alabama,51.4,44.81,2.05,-37.18,5.58,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.1005,-85.7157,144629.04965048336,Gaston Steam Plant,NA,0
1013,"Butler County, Alabama",Butler,Alabama,75,125.6,1.74,-14.12,5.4,115.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.7524,-86.6803,151019.36892411916,Barry Steam Plant,NA,0
1015,"Calhoun County, Alabama",Calhoun,Alabama,87.3,76.8,1.14,-31.58,5.4,111.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7714,-85.826,83012.40291652664,Gaston Steam Plant,NA,0
1017,"Chambers County, Alabama",Chambers,Alabama,84,114.49,1.42,-25.24,6.19,124.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.9143,-85.392,64588.11915948966,Wansley Plant,NA,0
1019,"Cherokee County, Alabama",Cherokee,Alabama,93,130.66,1.01,-36.86,5.57,110.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.1759,-85.6038,63233.96672080211,Plant Bowen,NA,0
1021,"Chilton County, Alabama",Chilton,Alabama,88,114.85,0.97,-27.01,4.85,113.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.8479,-86.7188,50108.12886098208,Gaston Steam Plant,NA,0
