FIPS,Location,mortality_resp,perc_mortality_change_resp,mortality_ast,perc_mortality_change_ast,mortality_lung,perc_mortality_change_lung
1,Alabama,73.4,73.08,1.33,-30.27,6.25,116.26
10,Delaware,51.7,30.9,1.10,-28.34,5.94,148.69
10001,"Kent County, Delaware",62.0,46.96,1.38,-19.07,6.30,154.1
10003,"New Castle County, Delaware",49.3,31.89,1.12,-24.18,5.94,163.55
10005,"Sussex County, Delaware",50.2,14.04,0.92,-44.22,5.76,109.32
1001,"Autauga County, Alabama",81.7,75.67,1.07,-29.51,5.72,108.69
1003,"Baldwin County, Alabama",54.2,46.1,0.94,-40.13,6.34,126.92
1005,"Barbour County, Alabama",69.8,62.98,1.63,-35.42,6.47,90.26
1007,"Bibb County, Alabama",84.4,83.11,1.31,-26.15,5.55,115.12
1009,"Blount County, Alabama",87.0,99.3,1.09,-29.20,5.26,126.28
1011,"Bullock County, Alabama",51.4,44.81,2.05,-37.18,5.58,88
1013,"Butler County, Alabama",75.0,125.6,1.74,-14.12,5.40,115.95
1015,"Calhoun County, Alabama",87.3,76.8,1.14,-31.58,5.40,111.53
1017,"Chambers County, Alabama",84.0,114.49,1.42,-25.24,6.19,124.92
1019,"Cherokee County, Alabama",93.0,130.66,1.01,-36.86,5.57,110.15
1021,"Chilton County, Alabama",88.0,114.85,0.97,-27.01,4.85,113.96
1023,"Choctaw County, Alabama",60.1,74.76,1.46,-29.90,5.59,116.16
1025,"Clarke County, Alabama",69.3,62.6,1.45,-31.65,6.19,102.17
1027,"Clay County, Alabama",76.2,75.05,1.09,-33.77,5.53,100.35
1029,"Cleburne County, Alabama",92.8,101.8,1.05,-31.56,4.86,103.85
1031,"Coffee County, Alabama",79.4,71.54,1.50,-17.22,6.80,102.92
1033,"Colbert County, Alabama",80.4,114.61,1.38,-15.46,5.60,122.5
1035,"Conecuh County, Alabama",76.4,135.95,1.34,-26.70,5.46,108.8
1037,"Coosa County, Alabama",78.6,93.67,1.24,-30.81,5.39,116.09
